,part,title,rating,text
0,인문,사피엔스,평점5점,재밌고 유익하고. 페이지가 많지만 읽는 의미가 있어요.
1,인문,사피엔스,평점5점,추천평이 좋아서 소장용으로 구매하게되었습니다~
2,인문,사피엔스,평점5점,꼭 읽어볼만한 책
3,인문,사피엔스,평점5점,처음부터 재밌지만 끝까지 재밌다
4,인문,사피엔스,평점3점,두껍다...
5,인문,사피엔스,평점5점,21세기 고전이라고 불러도 손색 없는 책
6,인문,사피엔스,평점5점,재밌고 유익하고. 페이지가 많지만 읽는 의미가 있어요.
7,인문,사피엔스,평점5점,작가의 깊이 있는 지식에 압도 당함. 역작으로 소장 가치가 충분한 책.
8,인문,사피엔스,평점5점,와우 두께가...
9,인문,사피엔스,평점5점,역사인지 과학인지 알송당송한 역사지만 정말 다양한 관점으로 볼 수 있어 너무 재미있다.
10,인문,사피엔스,평점5점,현대 인류의 발전 이유와 신기한 진화 방식을 기대 이상으로 잘 나타내준 책.
11,인문,사피엔스,평점5점,명성만큼 재미있기를 기대합니다.
12,인문,사피엔스,평점5점,두께가 상당해서 첨에는 시작하기 두려우나 읽기 시작하면 재밌어요!! 추천합니다!!
13,인문,사피엔스,평점5점,좋아요~
14,인문,사피엔스,평점5점,너무 재밌게 읽은책
15,인문,사피엔스,평점5점,서점에서 잠깐 읽고 매력이 있어서 구매했어요 진짜 재미있고 좋은책이네요
16,인문,사피엔스,평점5점,유명한데는 이유가 있구나
17,인문,사피엔스,평점5점,"인간 존재 자체와 문화, 제도 등에 대해 근본적인 의문을 제기하는 책"
18,인문,사피엔스,평점5점,인류사에 대한 나의 관심에 맞춤한 책!!
19,인문,사피엔스,평점4점,흥미로운 이야기 추천합니다.
20,인문,사피엔스,평점4점,좋은 책 감사합니다.
21,인문,사피엔스,평점5점,잘 읽었습니다~
22,인문,사피엔스,평점5점,잘 봤습니다~
23,인문,사피엔스,평점5점,잘읽었습니다
24,인문,사피엔스,평점5점,"명불허전, 친구한테 선물로 하기 좋습니다."
25,인문,사피엔스,평점5점,^^
26,인문,사피엔스,평점5점,인간 역사에 대한 예리한 통찰력과 새로운 관점을 보여주는 책
27,인문,사피엔스,평점5점,"전부 동의하지는 않지만, 새로운 시선, 생각할 무언가를 남겨줌"
28,인문,사피엔스,평점5점,"전부 동의하지는 않지만, 새로운 시선, 생각할 무언가를 남겨줌"
29,인문,사피엔스,평점5점,좋습니다
30,인문,사피엔스,평점5점,왜 이 책이 유명한지 알 수 있었다
31,인문,사피엔스,평점4점,잘 읽었습니다
32,인문,사피엔스,평점5점,재미있습니다.
33,인문,사피엔스,평점5점,우린 어디서 왔나?
34,인문,사피엔스,평점5점,좋아요
35,인문,사피엔스,평점5점,여러번 정독해도 깨닫는내용이 매번 많은 책이다
36,인문,사피엔스,평점5점,잘 읽었네요. 괜찮은 책 입니다.
37,인문,사피엔스,평점5점,좋아요.
38,인문,사피엔스,평점5점,흥미로운 의견..
39,인문,사피엔스,평점5점,쭉 읽기만 했는데 이번엔 정독해야겠어요
40,인문,사피엔스,평점5점,최 고
41,인문,사피엔스,평점5점,기대됩니다.
42,인문,사피엔스,평점5점,다시한번정독합니다 감사합니다
43,인문,사피엔스,평점5점,읽는 내내 정말 흥미로웠던 책!
44,인문,사피엔스,평점5점,잘봤습니다.
45,인문,사피엔스,평점5점,추천합니다
46,인문,사피엔스,평점5점,두꺼운책
47,인문,사피엔스,평점5점,아이가 좋아해요
48,인문,사피엔스,평점4점,여러가지 새로운 사실들을 알게 되어서 꽤 흥미있게 읽었어요.
49,인문,사피엔스,평점5점,도서관에서 읽고 소장하고싶어 바로 샀어요.
50,인문,사피엔스,평점5점,재밌습니다.
51,인문,사피엔스,평점5점,잘 읽었습니다
52,인문,사피엔스,평점4점,지인 추천책인데 부담스럽네요
53,인문,사피엔스,평점4점,재미있게 잘 읽었습니다.
54,인문,사피엔스,평점5점,쉽고 재미있어요
55,인문,사피엔스,평점5점,인간의 역사에대해 알게되어좋았다
56,인문,사피엔스,평점5점,흥미롭네요
57,인문,사피엔스,평점5점,정말 좋아요
58,인문,사피엔스,평점5점,권장이 아니라 필독서.
59,인문,사피엔스,평점5점,두꺼워서 부담스러웠는데 술술 잘 읽혀요 살면서 막연히 궁금했던 모든것들의 의문이 풀리는 책
60,인문,사피엔스,평점5점,어렵게읽었는데..현인류의역사를알게되어서든든한느낌~
61,인문,사피엔스,평점5점,인류 역사에 대한 설명서!
