id	document	label
286	오랜만에 따뜻한 글을 읽었습니다. 감사합니다^^	1
3156	그냥 가볍게 읽기 좋음	0
1961	좋은 작품 잘 읽었어요.	1
92	힐링소설 늦게나마 추천받아서 읽어봅니다~	1
2511	시간날때 읽어볼께요	1
1885	재미있게 봤습니다. 추천합니다.	1
2086	한동안 책을 안읽었는데 이책을 읽고 너무 재미있어서 독서를 하게 되었어요. 책 진짜 재밌	1
2360	영화로 나왔다길래 책먼저 보려고 주문했는데 재미있게 잘 읽히네요	1
1748	히가시노 게이고의 최대역작중 하나라고 할수있습니다. 최고죠~	1
2817	가슴 따뜻한 진짜 소설같은 이야기네요	1
919	마음이 따뜻해지는 이야기	1
1274	너무 환상적이다	1
2373	영화로 먼저 보구 다시 책을 구입하네요	1
1551	정말 잘 읽히구 재미있습니다^^ 작가님의 다른 작품도 읽어보구 싶어요 ㅎㅎ	1
2212	몇년전에 책을 읽고 좋아서 영화도 봤는데 소장하려고 다시 샀어요	1
1044	읽는내내 감동입니다	0
2704	읽다보면 손에서 책을 놓을수가 없어요^^	1
1525	재밌게 술술읽었어요~ 감동적이네요	1
3515	시간가는줄 모르고 푹 빠져 읽었습니다	1
694	좋아요! 역시 기대를 저버리지않아요.	1
2314	술술 읽히면서 잼있게 봤습니다	1
2410	역시 실망하지 않은 책	1
276	좋은책 감사합니다	1
2512	한정판 소장하고 싶어서 구매했어요ㅎㅎ	1
3000	몇년전에 대여해서 읽고 이번에 소장하려고 구매해서다시 읽었는데 그때완 또다른 감동이 밀려옴	1
2421	추천합니다. 좋았어요	1
3572	주위 친구들한테 추천해주고 싶은책이네요. 넘 잼있게 읽고 좋은생각을하게 해주는 책이네요.굳	1
2813	한번 더 읽고 감동 두배,,,	1
1886	많은사람들에게 추천받은 책, 그에비해 흡입력없고 유치한느낌	1
2419	재미있게 읽었습니당	1
3176	완전감동	1
960	환상특급	1
1458	히가시노게이고 팬 됐어요	1
1960	정말 뭔가 힐링되는 느낌을 받을수있는 작품입니다!	1
730	다른 사람들에게 추천하고 싶어요	1
237	맘편히 읽기 좋은 책입니다	1
1202	좋아요 좋아요 이거 다 읽고 영화도 볼거에요.	1
1009	무겁지 않고 편하게 읽히네요.^^	1
1464	항상 사고싶어서 교보문고안에서만 한 5번정도 읽은것같던데 꼭 개인소장해야겠다고 생각하고 이번에 샀는데 진짜 잘산것같아용❣ 이번에 영화로 나오는것도 일본가서 볼려구용 그리고 히가시노게이고작품은 다 좋아하는데 이게 넘버원이고 그다음이 기린의날개 ㅠㅠ 이것두 꼭 보세용 진짜 추리와 감동을 동시에 느낄수있어용����������❣	1
1527	아직 다 안읽어서 모르겠으나 처음부터 재밌고, 생각없이 빠르게 읽혀서 좋아요	1
271	나미야 잡화점이라는 과거와 현재의 시간이 공존하는 공간에서 과거와 현재가 서로 긍정적으로 영향을 미치는 모습을 허황되지 않게 묘사하고 있네요. 볼수록 빠져들게끔 하는 책이네요.	1
222	저는 재미없는 책은 잘 읽지 않는 편이예요~ 이 작가님은 가독성도 좋고, 재미와 감동, 항상 기발한 반전을 주셔서 좋아합니다!	1
2778	정말 재밌게보고 선물한 책입니다. 강추합니다:)	1
3157	이런 스토리를 만들 수 있다는 것이 놀라워요!!	1
1533	책 정말 오랜만에 읽는데 한번씩 엄청 와닿는 말이 많은 책이어서 좋았어요 강추��	1
1240	재미있어요 간만에 정독하네요	0
886	재밌게 잘 읽었어요^^	0
3133	너무 재미있어서 몇 번 더 읽었네용	1
1164	아직 읽기 전인데 너무 기대 됩니다.	0
3095	읽는 내내 기발한 상상에 오~감탄사가 절로~	1
2483	책 종이가 은빛이던데 진짜 이쁘네요 좋아요	1
2851	믿고 읽는 히가시노 게이고. 소름돋는 등장 인물들의 관계, 상담 재밌어요~	1
1625	퍼즐 같은 이야기 조각들이 모여.. 다 읽고 나면 마음 한 구석이 따뜻해 지는 풍경화를 본 느낌..	1
3074	숨도 안쉬고 읽었어요 역시	1
3034	슬프고 감동적이고 마음따뜻해지는 책이에요	1
104	정말 좋은 책인것 같다	0
3291	정말기대되는책입니다.	1
2230	책, 영화 모두 감동입니다	1
684	책 디자인만큼이나 마음에 드는 책이예요	1
1766	너무 재밌게 봤습니다	1
2884	소름	1
2427	오랫만에 가슴이 따뜻해 지는 느낌을 받았네요.. 강추 합니다	1
1737	재미있게 읽었습니다.	1
3350	별 기대 안하고 봤는데 반전까지 있는 힐링이 되는 소설책이에요~^^	1
2253	명작.	1
3191	가볍게 술술 넘어가네요	1
2313	따뜻한 느낌. 소설이 가져다주는 매력.	1
33	기대하지않았는데 흥미진진해서 한번에 다 읽었네요..	0
200	책 읽는것을 굉장히 싫어하고 책과 친하지 않는 사람인데 이번에 그런것들을 좀 없애보자 하고 일부러 소설책을 시컸는데 좀 술술 읽혀진다. 베스트 명작 이라고 하는 부분?까지는 아직 도달을 못했는데 조금 알것 같기도하다.	1
2980	자신을 돌아볼 수 있게끔 도와주는 책이네요.	1
1267	미뤄왔던 책을 드디어 읽고 있다. 단숨에 읽어버렸다. 좋아요~!!	1
2357	읽어보고 싶어서 뒤늦게 구입했습니다. 기대되네요~	1
303	좋았어요	1
40	학생들이간단하게 읽기 좋은 추리소설 같아요~ 추천!	0
3246	읽기전인데, 완전 기대됩니다	1
3501	한번 펼치면 끝까지 읽어야 합니다. 그래야 잠들 수 있습니다.	1
3202	어떻게 이렇게 글을 잘 쓸수가 있지 감탄 정말 놀라움	1
135	금방 읽어요 한정판이 꽤 많군요	1
680	재밌어요 추천해요	1
2498	책이 너무 예뻐요 선물용 소장용으로 너무 좋을듯요~!!	1
3117	일단 평이 좋아서 읽어보려 합니다~	1
155	힐링이 됩니다	1
481	읽을 때도 재밌지만 오히려 다 읽고 사건들이 연결되어서 읽을 때보다 더 재밌는 책으로 기억되는 듯	1
366	작가님 책을 처음 읽어봤는데 다른 책들도 읽어보고 싶어졌어요 중간에 끊을 수 없을 정도로 재미있어서 한번에 다 읽었네요	1
734	완벽항 작품. 하루만에 다 읽었음	1
1834	이북으로 구매했어요. 재밌게 읽어볼게요	1
2620	영화로 보고싶어서 책 읽어보고 영화보려고요	0
2055	흔하지만 흥미롭고 따뜻한소설.	1
1152	재밌어요 ㅎㅎ	1
955	과연 베스트셀러 이다	1
1608	정말누군가에선물해주고싶은책	1
288	기대되요~	0
3151	재밌습니다!!! 추천드립니다	1
1017	빨리 읽어보고 싶네요!	1
502	재미있게 잘 읽었어요. 감동적이였어요	0
120	예전에 나왔을땐 그냥 읽기만하고 책 구매는 생각도 안했는데 봄날에디션 너무예뻐서 구매했습니다. 항상 읽을때마다 진한 여운을 주네여~	1
1974	기존 작가의 느낌과는 다르지만 따뜻한 책이였던 것 같습니다	1
2943	도서관에서 잠깐보다 구매하게 됏어요	1
786	동화속의 이야기 같아요.	0
2246	너무 늦게 알게된책....재밌습니다.	1
3492	재밌게 읽고있습니다	0
562	과연 대표작이 아닐 수 없습니다	1
1549	추리소설 좋아하는데 유명한작가의 베스트셀러라서 구매했는데 재밌을것 같습니다	1
1932	오랜만에 독서 열정에 불을 붙였어요! 정말 재밌었습니다	1
509	책은무지 두꺼운데 쉽게읽혀요 재밌어요	0
2074	감명깊게 잘읽었습니다.	1
2912	읽다보면 나도 모르게 완전 몰입하게 되어서 끝까지 다 읽게되는 대단한 책	1
2834	너무 재미 있네요 작가님 다른 책도 읽어 봐야 겠어요	1
2780	책보다 드라마를 더 즐기는 절 책의세계로 빠지게한 책이예여	1
1220	히가시노책을 이거부터봣습니다. 감동도받앗고 그이후로 히가시노의 모든소설을 다읽고잇습니다. 이분 최고에요!	1
2751	소장할 만 합니다	1
1676	마음이 쓸쓸해지기도, 공허해지기도, 따뜻해지기도, 또 차오르기도 했던 그런 책 이었어요.	1
794	스토리도 좋고 잘 읽히네요	1
1400	나미야 집화점의 기적 뻔하고 따뜻한 이야기. 히가시노 게이고님의 다른책을 구입해야겠네요	1
2622	잼있어요~~	1
3505	평생 단 한 권의 책만 다시 읽을 수 있다면 망설임없이 이 책을 읽을 것입니다.	1
1098	진짜 좋아요	1
