id	document	label
623	죽음에 대해 진지하게 생각해 볼 계기가 되었다	1
1974	어렵지만 유용한책입니다	1
251	초딩딸램이 사 달라고 해서 샀는데, 아직 안 읽고 있습니다. 이렇게 두꺼운 줄 몰랐나 봐요. 제가 읽고 독서평 다시 올리겠습니다.	0
1518	어렵기도 하지만 인류에 대해 알게 해줍니다. 여러번 읽어야 할꺼 같아요	1
1521	잘봤어요!	1
1729	독서를 위한 책이면서 소장을 위한 책	1
709	정독 여러번 할만한 책	1
1399	유발 하라리 좋아해서 읽어보고 싶어요. 기대됩니당.	1
1971	정말 대단한사람이네요..호모 사피엔스 말입니다ㅎ	1
209	책이 두껍긴하지만 틈틈히 읽는 재미가 있습니다	1
289	초반 부분을 조금 읽었는데 논리적이고 흥미롭습니다	1
1132	받아보고생각보다두꺼워서놀랐습니다~인간의뿌리에대해서생각하게합니다	1
1069	언제 다 읽을지 몰라서리..초반부데 쉽게 잘 읽히고 있습니다.호기심에 구매한 책인데 책 두께가 두꺼워 쉬엄쉬엄 읽어야 겠습니다.배송때 끝부분이 찍혀와서 속상하지만 잘 읽겠습니다	0
862	기대돼요	1
409	이책 대신 총균쇠.....	0
768	한번읽어보시길...	1
23	진화론을 새로운 관점에서 볼 수 있는 좋은 기회가 되었습니다.	1
205	이래서 독서가 필요함	1
189	유발하라리의 인류에 대한 놀랍고도 통찰력있는 너무도 유명한 베스트 셀러작이리라서 리뷰가 무슨 소용인가 싶을 정도다.	1
341	어려워요	0
642	정말 좋은 책입니다	1
1782	인간의 A~Z까지 파악할 수 있는 최고의 책	1
1714	조카가 방학동안 읽고 남다른 새로운 시각으로 중학교에 입학하길 바라는 마음입니다	1
1353	기존 질서를 흩뜨리는 것 같아 혼란스러울 수 있다. 특히 유신론자들에게 그러할 것이다.	1
1464	기발. 잘 읽힘.	1
1560	발상이 재미있네요 후속편이 기대됩니다	0
1562	사피엔스는 어떻게 세상의 지배자가 되었는가..	1
532	꼭 읽어봐야 할 인문서	0
1770	현재 우리 인간의 과거와 현재 그리고 미래를 알고자 하는 분들에게 추천합니다.	1
82	한번은 꼭 읽어봐야 할 책	1
1498	저자의 흥미로운 관점과 통찰력은 많은 영감과 크고 작은 깨달음을 주었음. 시간을 투자하여 정독할 만한 책.	0
52	전국민 필독서라고 생각해요 그만큼 생각할 거리를 많이 던져줍니다	1
1126	인류위 역사를 바라보는 관점이 새로운 책이라 페이지가 많아도 흥미롭게 읽게 되네요<	0
900	생각보다 딱딱하지 않고 술술 잘 읽힙니다.	1
971	읽고 싶었던 책이에요! 좋아요^^	1
2081	최고에요! 매우 흥미로워요	1
1843	너무 유익하고 재미있어요.	1
2048	두께에 겁먹지 않고 보면 얻을 게 정말 많은 책!	1
562	추천	1
95	여러가지로 깊게 생각할 수 있는 계기가 되었습니다.	1
2037	내용도 내용이지만 번역이 훌륭하다.	1
665	호모데우스를 먼저 읽다가 나중에 알고 읽었어요. 괜찬은 책입니다.	0
1540	지배자가 아니라, 인류 구성원의 역사. 평소 역사를 공부하지 않던 분들에게 더욱 권장합니다	1
1098	정말 기대되는 책이에요~~~ ㅎㅎㅎㅎㅎㅎ	0
1537	그의 생각의 덩어리는 읽는이로 하여금 각자의 인식속에 새로운 영역을 만들어주며 세계를 재구성하여 추론하는 재미를 갖게 해준다.	1
609	사피엔스의 기록	1
1708	재밌어요~	1
1794	꼭 읽어야합니다	1
1166	역사를 바라보는 새로운 시선, 너무나 방대한 역사에 대한 정확한 지식을 가지고 있는 저자가 부러울 따름, 역사는 미래를 예측하는 거울이라고 하기에 과거로 부터 얻은 객관적인 저자의 통찰로 비롯한 미래가 도래하는 가능성은 무척 높아보이고 한 개인의 의견이라고 하기엔 너무나 많은 공감이 되었으며, 한편으로는 약간 무섭기도 하지만 이 생각과 이 글을 적고 있는 이 순간도 그저 흘러가는 한 사피엔스의 시간일뿐!	1
1458	종이책으로 읽었었는데 ebook으로도 소장하고 싶어서 구매했어요	1
1858	사고의 전환	1
702	유시민이 읽은책	1
1105	내용이 좋아요	1
2083	호모데우스라는 책을 읽고 구매하게 되었어요. 기대가 됩니다.	1
1038	후 ㅋㅋㅋ일단 목차만읽었음요!	1
1218	기존과 다른 시각으로 세상을 보게 도와준다	0
1125	아직 초반이지만 구매하기 잘 한것 같아요	1
161	아직 읽진 못했지만, 기대 됩니다.	0
1828	두껍지만 생각보다 잘 읽힙니다. 재미도 있어요	1
2092	유발하라리의 통찰력을 나에게...	1
824	이런 재기발랄한 이야기꾼을 보았나! 우리 ‘종’의 역사를 이보다 더 재미나게 들려주는 이는 결코 없었다.	1
1409	간략하게나마 인류의 역사를 잘 서술 하고 앞으로의 세상을 예측하려 하였다.	1
1982	책이 두껍고 내용이 어려웠지만 흥미진진했습니다.	1
1511	처음에는 어렵다는 생각을 했지만 의식의 흐름대로 읽다보니까 잘 읽혀졌습니다. 생물학과 역사를 통하여 인생의 존재에 대해 생각해볼 수 있었던 계기가 되었습니다.	0
287	세상을 보는 예리한 눈	1
1027	주변에 선물하려고 구입하였습니다.	1
847	유발 하라리의 지적 능력이 경이롭기만 하네요	1
17	인류학교양 재밌게 술술	1
