part,title,rating,text
인문,사피엔스,4,중학생 딸이 읽고싶다고 해서 주문했는데... 아직 읽지는 않았습니다. 마음의 준비가 필요하다나~ ㅋㅋㅋ
인문,사피엔스,2,글쎄요 가치관이 달라서 그런가 잘 읽히지 않네요. ~ 일지도 모른다는 표현이 반복되는 것도 거슬리구요.
인문,사피엔스,4,"논리적으로 글을 잘 썼다고 생각하며 읽었습니다! 배경지식이 부족해서 천천히 이해하며 읽느라 조금 오래 걸렸지만 다 읽고나니 뿌듯하고, 역사경제문화가 영향을 주고 받으며 변화해나가는 모습이 흥미로워요. 빅히스토리를 다룬 다른책들도 읽어보고싶고, 유발하라리 작가도 논리력에 감탄하여 다른책도 읽어보고싶네요! 사회를 바라보는 시야를 넓힐수 있는 책이니 다들 읽어보면 좋을듯 합니다."
인문,사피엔스,2,저한테는 좀 어려운 내용이고 난해한 책이네요
인문,사피엔스,2,생각했던것보단 그닥 입니다..
인문,사피엔스,4,“인간은 권력을 획득하는 데는 매우 능숙하지만 권력을 행복으로 전환하는 데는 그리 능하지 못하다”
인문,사피엔스,4,재미있어요
인문,사피엔스,4,책이 두껍지만 읽기 시작하면 생각보다 줄줄 읽히는 책이며 그만큼 재미도 느끼게된다
인문,사피엔스,2,"현대 과학의 발전이 어디까지 진행되었고, 어떤 방향을 향해 전진하고 있는지를 잘 보여준다. 그러나 진술에 있어서 어느 한 쪽으로의 짙은 편향성을 가지고 있고, 본인 자신의 어떤 업적이 담겨져 있지는 않다고 보여진다."
인문,사피엔스,4,"명작이네요,"
인문,사피엔스,1,원문이 그런건지 번역이 잘못된건지 말을 너무 꼬아놔서 읽기가 쉽지않고 이해하기 어렵습니다. 대부분 알고 있는 호모사이피언스 이야기로 지루합니다.
인문,사피엔스,3,"인간 발달 과정의 새로운 사실, 표현할 수 없는 역사의 진화과정 을 읽으면서 오늘날 우리 인간의 성품을 조금이나마 이해할 수 있게 되었다, 한마디로 놀람, 신비로움 자체다, 저자에게 무한 감사를 드린다."
인문,사피엔스,4,이건 누구나 한번씩은 꼭 읽어야 하는 책이라고 생각해요. 술술 읽히고 재미도 있으며 유익한 내용이 참 많아요. 읽는 내내 지적수준이 업그레이드 되는 기분을 느낄수 있어요.
인문,사피엔스,3,벼르고 벼르다 드뎌 구입. 기대됩니다
인문,사피엔스,4,이렇게 쉽게 잘 읽힐 줄이야
인문,사피엔스,4,유발하하하하리 아부지께서 잘 읽으실듯
인문,사피엔스,4,인류학교양 재밌게 술술
인문,사피엔스,4,재미와 지식 두마리를 동시에.
인문,사피엔스,4,편하고 재밌게 읽을 수 있습니다.
인문,사피엔스,4,올한해 벽돌책 깨기 프로젝트 하기위해 구매해요
인문,사피엔스,4,필독서
인문,사피엔스,4,두껍지만 술술읽히네요
인문,사피엔스,4,진화론을 새로운 관점에서 볼 수 있는 좋은 기회가 되었습니다.
인문,사피엔스,4,재밋어요 전에 알던 지식을 뒤집내요
인문,사피엔스,4,좋아요
인문,사피엔스,4,잘읽혀요
인문,사피엔스,4,기대하고 잘읽겠습니다. 지난 몇년간 이 책을 읽게 되기를 벼르고 벼르다가 이제 읽게 되었습니다. 감사합니다.
인문,사피엔스,2,어려워요ㅠㅠ
인문,사피엔스,4,좋습니다
인문,사피엔스,4,완전 설렘
인문,사피엔스,4,귀한존재로서 귀한삶을.......
인문,사피엔스,4,어려운책이지만 공감도 되구... 조아요
인문,사피엔스,4,아주 유용한 글이여요~
인문,사피엔스,4,언제부턴가 도서목록에넣어두고 뒤로미뤘는데 이제 구매하네요
인문,사피엔스,4,인류의 발전 과정에서 중요한 몇몇 혁명을 쉽게 다뤄서 좋아요.
인문,사피엔스,4,너무나도 유명한 책.
인문,사피엔스,4,너무 흥미롭고 유용합니다. 고생학생에게도 추천드립니다.
인문,사피엔스,4,왜 이제야 읽었는지 후회됩니다. 진작에 볼것을!
인문,사피엔스,4,아직 읽어보진 않았지만 추천사가 마음에 들어 구입하였습니다. 삶에 대한 고민이 조금이나마 해소되었으면 좋겠네요.
인문,사피엔스,4,너무 재미있어요 좋아요
인문,사피엔스,4,재밌습니다 과학을 쉽게 머릿속에 잘 들어가게 쓰여지고 몰랐던 지식이많이 쌓이게하는 책이였습니다
인문,사피엔스,4,잘받았습니다 잘받았습니다
인문,사피엔스,4,지리학적 세계사 풀기
인문,사피엔스,4,"전 부터 읽고 싶던 책인데, 들여다 보니 놀랍고 신선한 시각을 느낄 수 있는 것 같아요!"
인문,사피엔스,4,나만 이런 생각을 하고 있었던 게 아니었구나.. 정말로 기발한 책이다. 우리가 누구인지 객관적으로 볼 수 있게 만든 책.
인문,사피엔스,4,이 책이 굉장히 잘 쓰인 것 같다는 느낌이 많이 듭니다. 여러 사진 자료들과 함께 술술 잘 읽히는 글들이 더 몰입되게 만듭니다. 과학과 역사 관련해서도 많은 공부가 될 것이라고 생각됩니다.
인문,사피엔스,4,역시는 역시 좋은 책입니다.
인문,사피엔스,4,"도서관에서 빌려 한 번 읽었지만, 소장가치가 있어 이번에는 구매했네요. 후회하지 않습니다."
인문,사피엔스,4,"아직 읽어보진 않았지만, 기대되는 도서입니다."
인문,사피엔스,4,"오랜만에 정독하며 즐겼고, 큰 충격으로 다가온 책이었다. 역사라는 개념에서 큰 틀의 인류학에 대한 내용을 다루는 책으로, 새로운 시각과 가설이 흥미를 이끌었으며, 추후 다시 한번 읽어보고 싶다는 생각이 들게 만든 책이었다. 그런 의미로... 잽싸게 두 권으로 나눠진 만화 버젼도 장바구니로 투척하게 되었다. 한번만 읽고 넘기기에는 아까운 책이라고 생각한다."
인문,사피엔스,4,이 두꺼운 책이 한번 잡으면 끝까지 읽게 만드는 내용이라기에 주문해 봤는데 시작부터 충격이네요
인문,사피엔스,4,전국민 필독서라고 생각해요 그만큼 생각할 거리를 많이 던져줍니다
인문,사피엔스,4,아이가 사달래서 구입했는데 재미있겠죠.
인문,사피엔스,3,두껍지만 인내를 가지고 읽으면 좋습니다
인문,사피엔스,4,넓고 새로운 시각 읽어봅시다!
인문,사피엔스,4,기다렸던 책이예요 시간남을때 아주 잘 읽혀요! 글자크기도 눈에 잘 들어오고 좋은책 빠른배송으로 받아보아 너무 좋아요! 교보문고가 제일 배송도 빨라서 좋네요~
인문,사피엔스,4,왠지 읽어보고 싶을 때 보게 되는 책이네요~
인문,사피엔스,4,기대한만큼 좋았던 책 속편도 기대된다
