id	document	label
1384	재밌게 읽어줬음 해요..	1
1830	저와 함께 떠나보시죠. 컴위드미	1
1749	현재진행중인 우주의 역사ㅡ	1
1521	읽어보려 합니다	1
84	책 읽는동안 경이로웠다	1
623	아주 좋은 바이블입니다. 문장도 잘 읽히고요 너무 좋아여	1
1380	추천도서라 구입합니다.	1
1451	우주가 생겨난 과정을 알 수 있어요 대박	1
1566	누구나 꼭 한번은 봐야할 책인거같내요	1
428	아직읽어보지 않았는데, 좋아보여요? 이거 읽고 천체물리학자의 꿈을 꿀 수도..	0
290	기대되는 책이예요!	1
530	고3아들읽히려고 구매했어요 어렵다고 하면서도 열심히 읽고있어요	1
892	과학의 고전. 추천해요~	1
1332	정말 좋은 책이죠^^	1
1245	필독도서라 하여 구입했어요.	1
402	제가 읽고 감명받아 동생에게 선물한 책입니다	1
155	우주의 기원, 지구의 기원. 뭔가 한없이 작아지는기분 이해하려고 하기보단 가볍게 읽는것이 좋을 듯	0
1389	관심분야의 서적은 아니었는데 이 책 덕분에 이런분야에 관심이 생겼어요ㅎ 역시 책의 힘!	1
1207	아줌마도 재미있게 읽을 수 있어요. 정말 흥미진진한 인류의 기원과 역사속의 천문학을 만나요	1
1159	오래전 이 책을 읽었을 때의 즐거움이 아직도 기억난다.	1
1853	기대했던 것처럼 좋은 책이네요! 강력추천합니다.	1
665	역시 인생작. 볼수록 즐거움...	1
731	과학. 우주. 지구. 생물의 기원등에 대해 알수있었던 책입니다. 이분야에 관심이 있는 사람이면 꼭 읽어 보아야할책으로 보입니다.	0
829	어려워요	1
1760	아이가 재밌다고 합니다	1
681	읽기는 힘들지만 읽으면 보람된 책이예요~	1
1221	구판과 비교해 참고사진은 좀 적어보여 그건 좀 아쉽다	1
1284	꼭 봐야 할 책 같아서 구매했습니다	1
576	우리를 우주로 안내해줄 단 하나의 책.	1
1710	우주에 대한 한편의 대서사시	1
315	생각을 많이 허게 됩니다.	1
869	다소 내용이 어렵지만 끝까지 읽어보려고요	1
1370	잘받았어요 좋아요	1
427	책하나로 우주여행을?	1
1686	우주에 대해 관심이 조금이라도 있는 사람들에게 강력 추천합니다.	1
1264	흥미롭고 저자의 철학적인 사유도 좋았습니다. 두껍지만 어렵지 않은 책입니다:)	1
1611	기대가 됩니다.	1
594	기대됩니다~	1
1209	우주를 알게 해주는 책...	1
491	읽고싶었던 책이었어요	0
522	우두를 이해하는 첫걸음	1
1478	휼륭한 책입니다	1
492	보급판이라 인쇄가 옅은 부분이 몇 군데 있었지만 신경 쓰이는 정돈 아니였다	0
423	책이 두껍고 제게는 생소한분야라 어렵지만 우주에 대해 알아가는 재미가 있습니다	0
698	재미있게 쓰여진 과학책 오래걸리지만 지루하지 않다	1
1001	정말대단한책입니다!	1
907	재밌습니다	1
444	우주에 대한 서사시	1
1702	명불허전	1
1785	우주 속 철학	1
55	소장 가치 있는 책이에요 흥미로워요	1
1798	진짜 이거다 명불허전 코스모스	1
1316	기대가 되네요	1
919	소장가치 1000퍼 근데 아직도 안읽음ㅋ	1
925	오래오래 망설인 끝에 읽기 시작한 책인데 왜 이제야 읽기 시작했는지...어려운 과학서적일줄만 알았는데 이건 웬걸 쉽고 이해할수 있는 말로 아주 친절하게 쓰여진 책입니다. 강추강추	1
680	읽기는 힘들지만 한번 노력해보려구요~~!!	0
410	넘 어렵	0
13	인생도서입니다 꼭읽으세요	1
824	궁금해서 구입한 건데 두껍긴 하지만 유용할 듯 해요. 찬찬히 읽으려고요	1
405	사랑한다면 칼 세이건처럼	1
1585	어렵다고 미루었는데 도전해보려합니다	1
74	생각의 폭이 넓어지는 책입니다. 가만히 있으면 늘 하던대로만 하는데 세상의 여러면을 알고 변화할 수 있게 하네요	1
