id	document	label
40761	책이 좋아요.잘읽길 ..	1
27751	오싹오싹팬티 먼저 읽었는데 넘나 잼있게 읽어서 오싹오싹 당근도 구입했네요 그림도 귀엽고 이야기도 기발해요 다섯살 아들이랑 재미있게 봤답니다	1
32569	좋아요	1
12923	서점에서 읽어보다가 사왔는데 유용한 내용들로 알차게 구성되어 있어서 도움이 많이 되네요!	1
7206	따뜻한 책. 우리 동네에서 저런 서점이 있었으면 좋겠다	1
23577	오픽 공부하려고 샀어요. 배송빨리 되어서 빨리 공부할 수 있겠어요:)	1
39560	너무잼잇을것같아요	1
9490	가슴을 울리는 이야기.. 읽으면서 계속 눈물이 났다.. 소설을 읽는동안 나도 위로를 받는 느낌이었다…	1
3904	돈이 많은 사람은 투자할 수 있다. 돈이 조금밖에 없는 사람은 투자해서는 안 된다. 그러나 돈이 전혀 없는 사람은 반드시 투자해야한다 투자의 지침서를 통해 마인드셋에 도움이 됨	1
4440	왜 필독인지 알수있어요	1
5179	인문 과학 이야기 너무 재밌게 읽었습니다. 많은 영감을 받을 수 있는 아주 재미있는 책이었습니다.	1
38592	재미있어하네요	1
42798	"굿입니다	 굿."	0
12015	좋아요	1
10170	기대한 것만큼 좋았습니다 추천해요	1
42373	기본이 되는 책이에요 추천합니다	1
5010	각박한 세상에 자꾸만 각박해져가는 날위히니	1
20907	초등학생이 좋아하네요	0
27948	애들이 잘 읽어요.^^	1
809	저자는 ‘육아회화’를 연습하고 반복하면서 아이에게 기회를 계속 주어야 한다고 강조한다. 그렇게 조금만 더 노력하면 아이에게 하는 말이 잔소리가 아니라 효과적인 훈육이 된다. 그 결과 아이는 자존감과 자기 주도성이 높은 사람으로 성장하며 가족관계도 더욱 건강해진다.	0
421	아이들이 너무 좋아해요	1
42385	토익 대비 기본 지침서로 제일 많이 추천해주셔서 구매했어요 차분히 보고 유용하게 사용햬야겠어요	1
21042	직장 동료에게 선물했어요	1
38659	"경제원리들을 딱딱하게 이론으로 풀어낸 책이 아닌	 일상생활 속에서 마주하는 다양한 경제이론들을 스토리텔링식으로 풀어낸 책. 청소년 경제 도서 중 이렇게 기발하게 풀어낸 책이 있을까 싶다."	1
7652	해리포터같은 파타지를 좋아하는데.. 만족스럽네요^^ 감동적인 이야기 속에 세상을 사는 지혜를 주네요. 사놓고 미루다가.. 언택트 명절을 맞아 3시간 집중해서 읽었네요. 책 많이 읽으신분들은 더 빨리 후다닥 읽을수 있을거에요. 후속 이야기 나오면 좋겠어요..	1
34758	좋아요 잘 읽었습니다.	1
2157	알고 운동하는 것과 모르고 운동하는 것의 차이	1
40132	전 30대중반이지만 특별한 공부 비법이 있나하는 호기심에 읽게 되었는데..이 책을 방황하던 학창시절에 읽었더라면 나의 삶이 지금과는 좀 달라졌을까? 그런 생각을 했습니다. 나중에 우리 아이들이 크면 꼭 읽게 하렵니다..단순한 공부의 태도뿐만이아니라 인생을 어떻게 대해야 하는지에 대한 태도를 알려주었습니다. 저의 인생책이 되었습니다.	1
28812	벌써 3년이 지났네요. 오래 기다렸어요.	1
38536	감정 이입하면서 봤습니다~ 감명적이에요	1
32591	힘든현실에 힘이 되는 책이 되길 바랍니다	1
20562	"아.. 비슷한 입장이라 공감이 되고 와닿네요. 내면에 깊은 곳을 헤엄쳐야 나오는 생각들이에요. 슬프면서도 처절하고	 간절한."	1
29297	최재천교수님의 강의를듣고 읽어보고 싶어 구매했어요 기대되네요	1
18437	아이가 한국사 좋아해서 샀어요	1
5745	좋은 내용에 2번 읽고 있네요.	1
23450	좋아요 ......	1
15950	.	1
35625	좋은 책 잘 읽었습니다.	1
38821	좋아요 아이들이 흥미롭게읽어요	1
17849	아이가 흔한남매 좋아해서 신작이 나올때마다 구매중입니다. 아이가 매우 재미있게 읽고있어요	1
39902	절대 포기하지마 이 말만 곱씹는다....	1
21909	"쿠폰 사용.
저렴하게 구입했습니다."	1
9791	좋아요 좋아요 좋아요 좋아요 좋아요	1
5113	혐오의 시대에서 우리가 살아가야 할 방법은??	1
41427	작가님 팬인 아이가 재밌게 보네요	1
38336	재미나게 잘 읽었습니다	1
22237	아이들이 좋아하네요	1
44347	너무 쉽고 재미있게 단어공부를 할 수 있어요	1
19236	초3딸이 흔한남매 중 제일 재밌다네요.	1
2061	약과 병원에 의존하던 건강주권을 회복하라	0
9083	읽고싶었던 책인데 좋아요	1
42518	적당한 난이도에 문법이 잘 정리되어 있어서 좋아요	1
11426	잘 받았습니다	0
40698	Ch.1 읽었는데 흥미진진하네요 감정없는 소년이라는 소재가 신선합니다.	1
19905	아이가 꾸준히 사서 읽는 책이에요 저도 보는데 재밌어요	1
37780	귀한 말씀 감사합니다	1
37558	"이 책을 읽고 나를 돌아보기도	 남편을 한걸음 뒤에서 더 잘 볼 수 있어 좋아요.. 굿"	1
