id	document	label
0	책을 많이 주문해서 이제서야 읽기 시작했는데 두페이지 정도가 이렇게 찌그러져 있네요ㅠ 기간도 기간이고 제주도라서 교환신청하기도 좀 그래서 그냥 읽으렵니다ㅠㅠ 그래도 예전부터 읽고 싶었던 책이라서 과감히 구매를 결정했습니다. 과학책이지만 정말 재밌더라구요. 학술적인 내용으로 가득 찬 여타 다른 책들과는 달리 재밌는 표현도 많아서 좋았습니다. 두꺼운 책이지만 단숨에 읽을 수 있을 것 같네요. 아쉬운건 아쉬운거고 책 자체는 재밌어서 좋습니다. 조금 더 어릴 때 이 책을 읽었더라면 제가 천체물리학자를 목표로 공부했을지도 모르겠네요ㅎㅎ	0
1	"정말 경이로움 그 자체이다. 3챕터까지 읽다가 너무 놓치는 부분이 많은 것 같아서 다시 처음부터 읽기 시작했다. 그리고 이제 4챕터를 읽는 중이다. 읽는 내내 희열을 만끽했다. 계속 드는 의문과 궁금함 그리고 떠오르는 감상평으로 산 지 며칠 밖에 되지 않은 책은 작은 글씨들과 형광팬으로 어질러져 버렸다. 아마도 1	2번정도는 더 읽게 될 것이다. 칼 세이건에 이미 푹 빠져버렸고	 칼세이건과 같은 저명한 학자이자 교수가 되고자 꿈을 품게 되었다. 너무나 경이롭고 감사한 책이며	 언젠가는 나도 이러한 책을 쓰고 말겠다는 다짐을 하게된다."	1
2	"생각 할 수 있는 꺼리가 많아요. 사피엔스	 총균쇠 등과 함께 읽으면 더 좋을 듯 합니다!"	1
3	보급품이라길레 종이 안좋은줄 알았더니 양장본 뺨칩니다 빨리 사세요!	1
4	아껴 보고 싶은 책입니다.	1
5	알쓸신잡에 나온 책 기대됩니다 ..	1
6	책이 너무 비싸서 못읽었는데 이렇게 보급판으로 볼 수있어서 좋아요 요새 바이러스때문에 밖에 나가지 못하는데 집에서 오래도록 읽을 수 있겠네용~	1
7	아는 사람만 아는 청소년 필독서 두꺼워서 가성비도 좋아요	1
8	거대하고 장구한 스케일을 담고있는 책이라 섯불리 대들 수 없을것 같아도 용기를 내서 만난 책~ 정말 살면서 한번쯤을 읽어봐야 할 가치가 있는 책입니다~	1
9	정독할거에요	1
10	두 번 세 번 읽어도 좋은 책입니다	1
11	사물에 대한 지평을 넓혀줍니다	1
12	"첨에 두께 보고 놀랐어요. 벽돌책은 처음에 꺼려지는데 막상 지금 읽어보니 잘 읽혀요
과학자들이 청소년에게 권하는 필독도서라기에 청소년도 읽는데 나라고 못읽겠냐 해서 구매했는데 이거 정말 좋은 책이에요"	1
13	인생도서입니다 꼭읽으세요	1
14	필독도서로 추천합니다	1
15	과학 좋아하는 아이에게 여름방학때 읽힐려고 구매했어요. 첫장 읽어보더니 빨리 읽고 싶어 합니다.	1
16	이 책을 읽으면서 일상의 작은 마음에서 해방되는 시간을 갖고싶다	1
17	좋아용~	1
18	삭제된 리뷰입니다.	1
19	좋아요	1
20	꼭 읽어봐야할 책	1
21	평소에 알디 못하던 분야에 대한 정보를 재미있게 얻을수 있는 좋은 기회가 되었어요	1
22	좋아요	1
23	드디어 도전합니다! 우주에 대해 처음으로 관심이 생긴 책이에요	1
24	정말 유용한 책입니다.	1
25	바로드림 첫결제 이벤트로 엄청 저렴하게 샀어요 도서관에서 빌려읽고 감동먹어서 소장하고 싶었는데 이렇게 저렴하게 구할수 있어서 너무 좋네요	1
26	말이필요없는책이죠. 원서도 샀는데 언제 끝까지 읽어볼 수 있음 좋겠네요	1
27	좀 어려워요 유명하길래 읽어보았는데 관심이 아예 없던사람은 많이 쉬운책은 아닌것 같아요 대신 유튜브도 보고 보니까 이해가 좀더 쉬웠어여	0
28	말이 필요없는 책이에요	1
29	과학 서적은 잘 읽지 않았었는데 재미있네요.	1
30	꼭 봐야하는 명작!	1
31	아직 초반부이지만 생각보다 어렵지 않게 읽을 수 있어요!	1
32	너무 좋은 책입니다	1
33	도서관에서 빌려보고...소장해서 읽고싶어 구입했어요.	1
34	엘러건트 유니버스와 함께 읽으려 구매합니다. 천천히 읽어봐야겠어요.	1
35	한번쯤은 읽어봐야...	0
36	"아직도 가슴을 설레이게 하는 광대하고 웅장한 ... ‘리스펙트’ 그 자체.
또다른 코스모스를 기대하며..."	1
37	두께가 있어 휴대하며 읽기엔 쉽지 않지만 여튼 넘 좋은 책이에요	1
38	꼭 읽어보세요. 모두에게 추천합니다	1
39	생각보다 어렵지 않아서 아이도 잘 읽어요	1
40	학생이 공부하기 좋아요	1
41	어릴 적 봤으면 좋았을 책..지금도 물론 좋지만	1
42	보급판 시서 읽다가 결국 .. 양장본도 샀어요*__* 이건 칼라사진과 함께해야해.. 놀라움+ 생각이 많아지는 책	1
