part,Unnamed: 0,title,date,rating,text
국외소설,0,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2021-08-09,2,가독성은 있으나 급하게 이야기가 마무리되는 느낌이라 아쉬워요..
국외소설,1,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2021-07-15,4,머리는 너를 잊어도 심장은 너를 잊지 않았다
국외소설,2,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2021-08-23,1,읽다가 덮었다. 꾸역 꾸역 백페이지는 채워봤는데 시간이 아까웠다. 문체가 너무 가벼워 웹소설 읽는 기분이 이런게 아닐까 싶다. 번역의 탓일까. 작가의 필력이 없는지. 글의 묘사가 없이 너무 싱겁고 밋밋하다. 청소년기 연애감정 얻는것 말고는 얻을게 없는 책...
국외소설,3,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2021-07-11,4,너무 슬프고 몰입도 잘 되고 재밌습니다.
국외소설,4,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2021-09-07,2,기대감이 컸었는지 생각보다 많이 아쉬웠다. 일본 작가 소설에서 주로 나올 법한 다소 뻔한 스토리
국외소설,5,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2021-12-02,1,인스타에서 어그로까지 끌어가며 홍보하는건 다 이유가 있다... 쓸데없이 알몸 속옷 얘기 할 때 마다 몰입도 다 깨짐 1도 안참신함 걍 전형적인 일본 애니 문학 그 자체임 후반에 급전개 오짐 ㅋㅋ 왜 갑자기 등장인물이 죽고 몆년이 흐르고 그럼?
국외소설,6,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2021-07-18,3,"슬프지만 사랑스런, 청춘 이야기. 잘 읽었습니다!"
국외소설,7,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2021-10-20,4,"고등학교 시절로의 시간여행~
그때의 풋풋한 마음을 잘 표현~
슬프지만 그렇지만은 않은
재미있게 잘 읽었습니다~"
국외소설,8,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2021-09-21,2,"가독성과 모두들 기억 쌓아갈 때 혼자 기억을 잃어버리기만 했던 주인공이 후에 남들은 잊어가는 기억을 찾아다니는 부분은 감명깊었지만, 복선 없는 타 유명소설에 살짝 변형만 된 반전, 이로인한 후반 1/5 부분의 급전개는 매우 실망스러웠다."
국외소설,9,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2021-08-07,4,너무 잘 산 책이에요 잘 읽을게요 감사합니다
국외소설,10,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2021-08-06,4,거의 끝나갈 무렵부터 눈물이 멈추질 않네 흐르지 않게 물방울 처럼 맺혀만 있어 슬퍼
국외소설,11,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-03-10,4,이 책은 진짜 필독 도서라고 생각되는 책이에요
국외소설,12,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-03-08,4,오늘밤 세계에서 이사람이 사라진다해도
국외소설,13,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-02-27,4,"직접 읽기 전부터 관심이 갔던 책이었습니다. '기억상실증'과 '사랑'이라는 소재의 만남은 다시 생각해도 참신하고 애틋한 것 같습니다. 그렇기에 관심이 갔던 만큼 이야기는 기대에 완벽하게 부응했고, 저는 히노와 도루의 청춘 속 따뜻하고 찬란한 사랑을 응원했습니다. 순수해서 좋고, 애틋해서 좋았습니다. 한 가지 아쉬웠던 점은 해피엔딩이 아니라서 마음으로만 그 흔적을 되뇌어야 한다는 것이었습니다. 그럼에도 몸과 마음이 이어져 있던 시절 두 사람의 사랑이 햇빛 같이 강렬해서 그 슬픔을 조금이나마 덮어주는 것 같아 위안이 됩니다."
국외소설,14,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2021-08-25,2,제가 너무 기대를 많이했나봅니다..... 저에겐 많이 유치했어요 그래도 완독은 했습니다.
국외소설,15,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-05-29,1,동생이 읽어보라고 해서 읽었는데 글쎄요ㅠ 후반부에서 그렇게 마무리되는게 갑작스럽다고 느꼈네요 감동을 주기 위해서 그렇게 설계한 느낌도 들고. 그리고 문체는 웹소설 느낌이에요. 제가 일본 감성이랑 안맞는 것 같기도 하고.. 너무 뻔한 스토리에 뻔한 소재. 참 진부하네요ㅠ 근래 읽은 책 중 가장 별로였습니다
국외소설,16,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-03-07,4,잘읽었습니다 재미있게
국외소설,17,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-03-06,4,책을 펼치는 그 순간부펼치눈을 떼지못하게 하네요^^ 재미있습니다.
국외소설,18,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-03-06,4,재미있게 잘 읽을수 있었어요
국외소설,19,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-03-05,4,유명책이라 구입했는데 저보다 아이들이 더 잘읽고있네요
국외소설,20,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-03-04,4,너무 재미있게 잘 읽었습니다. 추천해요!
국외소설,21,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-03-04,4,좋아요 좋아요 좋아요 좋아요 좋아요
국외소설,22,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-03-02,4,아이가 펑펑 울었다고하네요
국외소설,23,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-02-28,4,잼있습니다 시간가는줄 모르고 읽었습니다
국외소설,24,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-02-28,4,"어느 순간부터 눈물이 흐르고 있었는지 조차 생각할 수 없을 정도로, 가슴이 아렸다."
국외소설,25,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-02-28,4,문학작품을 즐겨 읽는 딸아이가 읽고 싶다 하여 주문했습니다.
국외소설,26,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-02-26,4,재미있어요.좋아요.
