part,title,date,rating,text
만화,원피스 102: 천왕산,2022-09-07,4,그래도 재밌습니다 좋아용
만화,원피스 102: 천왕산,2022-09-07,4,ㄴ그래도 채밌는 원피스
만화,원피스 102: 천왕산,2022-09-06,3,항상 재미있게 읽네요
만화,원피스 102: 천왕산,2022-09-02,4,"만화를 좋아하는 아들이 사고싶다고 하고 조르기에
추석도 되고해서 구매해 주었는데,
무지하게 좋아하는 군요."
만화,원피스 102: 천왕산,2022-09-01,4,잘 읽히고 재미있어요..^^
만화,원피스 102: 천왕산,2022-08-31,4,꼭 사세요. 재미있어요.
만화,원피스 102: 천왕산,2022-08-31,4,너무 재밌네요~ 103권 나오면 사야겠네요.
만화,원피스 102: 천왕산,2022-08-29,4,동생이 좋아해요 신간 나오기만을 기다리네용
만화,원피스 102: 천왕산,2022-08-28,4,너무 너무 재미있습니다
만화,원피스 102: 천왕산,2022-08-27,4,애니메이션과 만화책은 다른 느낌이네요
만화,원피스 102: 천왕산,2022-08-25,4,이 책을 간단히 말하면?
만화,원피스 102: 천왕산,2022-08-24,3,즐겨읽는 책이라 구입합니다
만화,원피스 102: 천왕산,2022-08-24,4,드디어 카이도우가 쓰러졌는가
만화,원피스 102: 천왕산,2022-08-23,4,원피스 언제나 재미있습니다
만화,원피스 102: 천왕산,2022-08-21,4,이야기가 점점 이상해지는 기분 ㅋ
만화,원피스 102: 천왕산,2022-08-17,4,재미있게 잘 봤어요
만화,원피스 102: 천왕산,2022-08-17,4,팬이에요 항상 구매합니다
만화,원피스 102: 천왕산,2022-08-11,4,너무너무 재밌습니다 구매 망설이지 마세요 강추!!
만화,원피스 102: 천왕산,2022-08-11,2,아직도 멀었다... 계속 싸운다
만화,원피스 102: 천왕산,2022-08-08,4,항상 흥미진진하네요 재미있게 읽었어요
만화,원피스 102: 천왕산,2022-08-07,4,재미있게 읽었습니다.
만화,원피스 102: 천왕산,2022-08-07,4,재미있게 읽었습니다.
만화,원피스 102: 천왕산,2022-08-06,4,역시 원피스다.. 무료배송이라 교보를 이용하게 되네요 다음권 나오자마자 바로 살겁니다!
만화,원피스 102: 천왕산,2022-08-06,4,살아있으니 무한히 있지!!!
만화,원피스 102: 천왕산,2022-08-05,4,원피스가 문화와 미래에 끼칠 영향력은 대단할 것임
만화,원피스 102: 천왕산,2022-08-04,4,재밌게 잘 봤습니다
만화,원피스 102: 천왕산,2022-08-03,4,재미있게 보고있어요
만화,원피스 102: 천왕산,2022-08-03,4,이번편에도 카이도와 결말은 안나는군요
만화,원피스 102: 천왕산,2022-08-02,4,너누 좋습니다. ㅎㅎ
만화,원피스 102: 천왕산,2022-07-30,4,늘 읽던거 입니다 좋아요
만화,원피스 102: 천왕산,2022-07-30,4,내용이 좋아서 도움이 많이 되었어요
만화,원피스 102: 천왕산,2022-07-28,4,한 번씩 만화책 살 때 같이 구매합니다~~
만화,원피스 102: 천왕산,2022-07-28,4,요즘 계속 사서 보고 있어요 재밌어요����
만화,원피스 102: 천왕산,2022-07-26,4,너무 너무 재미있어요.
만화,원피스 102: 천왕산,2022-07-25,4,3개월을 또 어떻게 기다리죠
만화,원피스 102: 천왕산,2022-07-22,4,계속 구입중이에요.
만화,원피스 102: 천왕산,2022-07-21,4,종결후 몰아보기 위해 구매~
만화,원피스 102: 천왕산,2022-07-21,4,빨리 103권 나왔으면 좋겠어요
만화,원피스 102: 천왕산,2022-07-20,4,재밌습니다 역시 원피스
만화,원피스 102: 천왕산,2022-07-19,4,빠르게 잘받았습니다
만화,원피스 102: 천왕산,2022-07-18,3,기다렸습니다아아아아
만화,원피스 102: 천왕산,2022-07-18,4,매번 구입합니다. 인터넷가 할인가로 저렴하게 잘구입하고 잘 읽고있습니다. 감사합니다.
만화,원피스 102: 천왕산,2022-07-17,4,잘받았습니다. 재밌어요!
만화,원피스 102: 천왕산,2022-07-17,4,역시 원피스는 항상 재미있습니다
만화,원피스 102: 천왕산,2022-07-17,4,좋네 아주 좋아.아주 좋다고..
만화,원피스 102: 천왕산,2022-07-17,4,좋네 아주 좋아.아주 좋다고..
만화,원피스 102: 천왕산,2022-07-17,4,좋네 아주 좋아.아주 좋다고..
만화,원피스 102: 천왕산,2022-07-16,4,와노쿠니 긴 여정의 끝이 보입니다 재밌어요
만화,원피스 102: 천왕산,2022-07-13,4,102번째 책을 기다린보람이 있네요
만화,원피스 102: 천왕산,2022-07-12,4,좋아요 재미었요 히트다히트
만화,원피스 102: 천왕산,2022-07-11,3,best of best
만화,원피스 102: 천왕산,2022-07-09,4,재미나여~^^ 상상력 무제한이네요~
만화,원피스 102: 천왕산,2022-07-08,2,재미없어서 안보는 책.. 판매용으로 구입함
만화,원피스 102: 천왕산,2022-07-07,4,아이가 줄곧 가다리는 책입니다
만화,원피스 102: 천왕산,2022-07-07,4,신간 기다렸는데 아이가 넘 좋아해요
만화,원피스 102: 천왕산,2022-07-06,4,재밌게 잘 읽겠습니다.
만화,원피스 102: 천왕산,2022-07-04,4,패왕색!! 드디어 와노쿠니의 싸움이 클라이맥스를 향해 간다
만화,원피스 102: 천왕산,2022-07-03,4,재미있어요 두번보세요
만화,원피스 102: 천왕산,2022-07-03,4,원피스는 최고죠!!
만화,원피스 102: 천왕산,2022-07-03,4,넘넘 재밌어요 원피스 최고
만화,원피스 102: 천왕산,2022-07-02,4,벌써 102권이네요. 여전히 재미있어요
만화,원피스 102: 천왕산,2022-07-02,4,의리의 원피스!102권!
만화,원피스 102: 천왕산,2022-07-02,4,얼마나 기다렸다규 ㅠㅠ 103권 벌써 부터 기다리게 되네요ㅎ
만화,원피스 102: 천왕산,2022-07-01,4,아이가 제일 좋아합니다
만화,원피스 102: 천왕산,2022-06-30,4,얼른 완결까지 나왔으면 좋겠어요~
만화,원피스 102: 천왕산,2022-06-30,4,말이 필요하나요.재밌어요.
만화,원피스 102: 천왕산,2022-06-30,4,완결까지 잘 마무리되길 바랍니다.
만화,원피스 102: 천왕산,2022-06-29,4,끝을 향해 가고있나요 오래달리기를 하는 독자예요
만화,원피스 102: 천왕산,2022-06-29,4,점점 흥미를 더 해가는 이야기. 다음 이야기가 매우 기다려진다.
만화,원피스 102: 천왕산,2022-06-28,4,원피스 재미있어요.
만화,원피스 102: 천왕산,2022-06-28,4,재미있게 보고 있습니다.
만화,원피스 102: 천왕산,2022-06-28,4,이번 권도 재미있게 잘 봤어요
만화,원피스 102: 천왕산,2022-06-28,4,좋아요 만화책 만세
만화,원피스 102: 천왕산,2022-06-26,4,너무 감사합니다!!!
만화,원피스 102: 천왕산,2022-06-26,4,완결이 기대되네요 좋아요
만화,원피스 102: 천왕산,2022-06-25,4,재미있게 잘 읽었습니다.
만화,원피스 102: 천왕산,2022-06-25,4,빠른 배송 감사합니다
만화,원피스 102: 천왕산,2022-06-25,4,좋아하는 책 입니다
만화,원피스 102: 천왕산,2022-06-25,4,이번 권도 재미있게 잘 봤어요
만화,원피스 102: 천왕산,2022-06-24,4,드디어 102권!!
만화,원피스 102: 천왕산,2022-06-24,4,드디어~ 102권!! 너무 기대됩니다!!
만화,원피스 102: 천왕산,2022-06-23,4,101권에 이어서 구매합니다
만화,원피스 102: 천왕산,2022-06-22,4,기대기대 ��주문하고 기다리고있어요! 꺄오~~ㅎㅎ
만화,열혈강호 86,2022-09-09,4,이 책을 읽을 때마다 즐거움~~ ^^
만화,열혈강호 86,2022-09-07,4,좋아요 좋아요 좋아요 좋아요
만화,열혈강호 86,2022-09-07,4,항상 재미있게 보고있어요 출간일이 기다려지네요
만화,열혈강호 86,2022-09-06,2,다음 권이 기대됩니다.
만화,열혈강호 86,2022-09-05,4,발권일이 기다려집니다.
만화,열혈강호 86,2022-09-04,4,재미있게 보고 있어요~!
만화,열혈강호 86,2022-09-03,4,이것도 가격이올랏네요 ...ㅋㅋㅋ
만화,열혈강호 86,2022-09-03,4,이야기가 거듭되어 갈수록 그 재미 또한 배가 되어 가는 작품입니다.
만화,열혈강호 86,2022-09-02,4,이젠 의리로 본다... 드디어 나왔도다. 천마신군!
만화,열혈강호 86,2022-09-02,4,한국 무협의 자존심 언제 다음권이 나올지
만화,열혈강호 86,2022-09-02,4,한국 무협의 자존심
만화,열혈강호 86,2022-09-01,4,재미있어요 작가님들이 건강했으면하네요
만화,열혈강호 86,2022-08-31,4,오래기다렸어요 두근두근
만화,열혈강호 86,2022-08-31,4,좋은 책 감사합니다.
만화,열혈강호 86,2022-08-31,3,best of best
만화,열혈강호 86,2022-08-31,4,개속 사서 보고있어요
만화,열혈강호 86,2022-08-30,4,내용이 좋아서 도움이 많이 됐어요
만화,열혈강호 86,2022-08-30,4,우리나라를 대표하는 무협만화
만화,열혈강호 86,2022-08-29,4,잘받았습니다. 재밌어요!
만화,열혈강호 86,2022-08-29,3,잘 보고 있어요. 다음 권이 빨리 나오기를...
만화,열혈강호 86,2022-08-29,4,점점 흥미가 많아지네요
만화,열혈강호 86,2022-08-28,4,너무 너무 재미있습니다
만화,열혈강호 86,2022-08-28,4,기다림의 시간이 너무 길어요~~~ㅠ
만화,열혈강호 86,2022-08-27,4,87권은 언제 나올까요?ㅠㅠ
만화,열혈강호 86,2022-08-27,4,오매불망 드뎌 나와 구매했습니다
만화,열혈강호 86,2022-08-26,4,싸움 장면이 인상적이었어요
만화,열혈강호 86,2022-08-26,4,이번 권도 재미있게 봤어요
만화,열혈강호 86,2022-08-26,4,열혈강호 86권 드디어 받았습니다. 재밌게 볼께요 !!
만화,열혈강호 86,2022-08-26,4,"완결을 기다리며, ㅎㅎㅎ"
만화,열혈강호 86,2022-08-25,4,역시 너무 재미있어요 만족합니다
만화,열혈강호 86,2022-08-25,4,재미있게 잘 읽었습니다.
만화,열혈강호 86,2022-08-23,4,85권에 이어서 구매합니다.
만화,야쿠자의 덕질 1,2022-08-01,4,정발 전에도 인기가 되게 많고 원서라도 찾아봤었는데 정발한다니 정말 기쁩니다~^^
만화,야쿠자의 덕질 1,2022-09-07,4,주변에서 재밌다고 하니 주문해봅니다ㅎ
만화,야쿠자의 덕질 1,2022-09-07,4,완벽한 개그물! 재미있는데 아이돌 나오는 부분이 제일 재미없음 아저씨들 나오는 게 제일 재밌네
만화,야쿠자의 덕질 1,2022-09-06,4,다음 권도 기대하겠습니다.
만화,야쿠자의 덕질 1,2022-09-05,4,재밌어요 추천합니다
만화,야쿠자의 덕질 1,2022-09-05,4,엄청 재미있게 읽었어요
만화,야쿠자의 덕질 1,2022-09-05,4,신선한 내용이었어요 책의 질이 좋아서 너무 좋았네요
만화,야쿠자의 덕질 1,2022-09-05,4,재미있어요 부록도 좋아요
만화,야쿠자의 덕질 1,2022-09-04,4,재밌게 읽었습니다.
만화,야쿠자의 덕질 1,2022-09-03,4,이 작품만의 독특한 캐릭터가 정말 마음에 들었습니다.
만화,야쿠자의 덕질 1,2022-09-03,4,아이돌 덕질은 저렇게 하는구나를 알게되었다
만화,야쿠자의 덕질 1,2022-09-03,4,나쁜 짓 안 할 것 같은 야쿠자
만화,야쿠자의 덕질 1,2022-09-01,4,친구들 주려고 여러권 샀는데 진짜 아이돌 스러운 얼굴을 너무 잘그리세요
만화,야쿠자의 덕질 1,2022-09-01,4,진짜 너무 재밌어요 진짜
만화,야쿠자의 덕질 1,2022-08-31,4,소재가 신선해서 재밌었어염
만화,야쿠자의 덕질 1,2022-08-30,4,재밌습니다 읽어보세요
만화,야쿠자의 덕질 1,2022-08-30,4,이 발상 자체에서 이미 재밌음!!
만화,야쿠자의 덕질 1,2022-08-29,4,재미있게 잘보고있습니다!
만화,야쿠자의 덕질 1,2022-08-29,4,2권이 기대됩니다. 잘봤습니다.
만화,야쿠자의 덕질 1,2022-08-28,4,재미있게 잘 읽었습니다
만화,야쿠자의 덕질 1,2022-08-27,3,특전이 예쁘네요 잘받았어요
만화,야쿠자의 덕질 1,2022-08-27,4,향후가 기대가 되는 출발점이네요.
만화,야쿠자의 덕질 1,2022-08-27,2,개그코드가 제 취향은 아니었어요 ㅠㅠ 근데 취향이랑 별개로 책이 진짜 예쁘고 질이 너무너무 좋아요.. 종이재질이 빳빳하고 두꺼움 이런 만화책 처음 봐요 특전도 너무 예뻐서 소장가치가 있는 책 같네요
만화,야쿠자의 덕질 1,2022-08-27,4,"재밌어보여서 구매했는데, 정말 신박하고 재밌네요!!"
만화,야쿠자의 덕질 1,2022-08-26,4,진짜 너무 재밌어요!! 전개가 빨라서 술술 읽힙니다!
만화,야쿠자의 덕질 1,2022-08-25,4,내용도 재밌고 무엇보다 부록이 너무 이뻐요.
만화,야쿠자의 덕질 1,2022-08-24,4,신선한 만화라고 생각행ㅅ
만화,야쿠자의 덕질 1,2022-08-24,3,신선하네요~~~~~
만화,야쿠자의 덕질 1,2022-08-24,4,소재가 독특한 것이 마음에 들었어요
만화,야쿠자의 덕질 1,2022-08-23,3,가볍게 읽을만 합니다.
만화,야쿠자의 덕질 1,2022-08-23,4,2권도 기대됩니다.
만화,야쿠자의 덕질 1,2022-08-23,4,야쿠자의 덕질 2권 기대기대~~
만화,야쿠자의 덕질 1,2022-08-22,2,다음권이 기대됩니다.
만화,야쿠자의 덕질 1,2022-08-22,4,마치 제가 덕질하는 모습 같아서 더욱 재밌었습니다.
만화,야쿠자의 덕질 1,2022-08-22,4,재미있게 잘 봤어요
만화,야쿠자의 덕질 1,2022-08-22,4,부록 잘받았어요 !
