part,title,date,rating,text
여행,에이든 국내여행 가이드북(2022-2023),2022-05-25,4,이번 여행에 도움이 되었어요
여행,에이든 국내여행 가이드북(2022-2023),2022-09-05,4,전국을 소개하고 있다보니 책이 두껍습니다. 그래서 휴대는 용이하지 않지만 여행 계획 세울때 많은 도움이 되었습니다. 지도만 보고도 여행 일정 계획할 수 있도록 정리가 잘 되어있고 맛집이나 명소 등 상세 페이지도 깔끔하게 정리되어 있어서 좋았어요.
여행,에이든 국내여행 가이드북(2022-2023),2022-08-23,4,"책이 두껍고 생각보다 크네요. 묵직해요.
휴가라 여행가며 들고가려 했는데...들고 다니기엔 벅참.
그렇지만 편집도 내용도 너무 든든합니다"
여행,에이든 국내여행 가이드북(2022-2023),2022-08-19,4,보는 즐거움이 있는 책이에요
여행,에이든 국내여행 가이드북(2022-2023),2022-07-10,4,여행다닐때 유용하게 읽고있어요
여행,에이든 국내여행 가이드북(2022-2023),2022-07-04,4,에이든 국내여행 가이드북
여행,에이든 국내여행 가이드북(2022-2023),2022-06-21,4,여행이랑 너무 잘 맞는 책인것 같습니다! 완전 추천!
여행,에이든 국내여행 가이드북(2022-2023),2022-06-06,4,볼만해요 감사합니당 ㅎㅎ
여행,에이든 국내여행 가이드북(2022-2023),2022-05-31,4,유용하게 읽고 있습니다.
여행,에이든 국내여행 가이드북(2022-2023),2022-05-25,4,이번에 여행하는데 많이 도움됐어요 지도가 큼직해서 좋네요.
여행,에이든 국내여행 가이드북(2022-2023),2022-05-18,4,국내여행 가이드북은 처음 사보는데 보기 편하게 되어 있어요.
여행,에이든 국내여행 가이드북(2022-2023),2022-05-10,4,전국의 각 도 시 군마다 가볼만한 여행지를 모아 잘 분류해놓았어요 사진들도 괜찮아요
여행,에이든 국내여행 가이드북(2022-2023),2022-04-15,4,표지부터 가이드북같지 않고 감성 충만해서 설레요. 여행지수가 압도적으로 많아서 그게 제일 맘에 드네요!
여행,에이든 국내여행 가이드북(2022-2023),2022-04-07,4,"개정판 잘 받았습니다.
지도 부분 펼침면이 완전하지 않다는 느낌은 확실하네요.
180도 펼침이 가능한 제본이었으면 참 좋았을텐데ㅠ"
여행,에이든 국내여행 가이드북(2022-2023),2022-04-06,4,"주말마다 집 근처 위주로 여행 다니고 있는데 도움이 많이 되었습니다ㅎㅎ 지역주민들도 모르는 숨은 사진촬영 명소나 맛집 정보가 많이 실려있어요. 카페도 프랜차이즈 카페만 다녔었는데, 책에 소개된 곳 중 예쁜 곳들이 너무 많더라구요...^^"
여행,디스 이즈 파리(2022-2023),2022-08-27,4,여행에 매우 도움이 됩나
여행,디스 이즈 파리(2022-2023),2022-08-19,4,최신개정판이라 샀어요 좋습니다
여행,디스 이즈 파리(2022-2023),2022-07-25,4,보기 좋게 디자인이 잘됐네요. 예전에 파리를 패키지로 너무 대충봐서 이번엔 제대로 여행하고싶어서 구매했어요 유용할거 같아요^^
여행,디스 이즈 파리(2022-2023),2022-07-23,4,다른 가이드북과 차원이 다른듯.. 특히 지도가 정말 좋은 것 같아요.. 작가들이 예술 전공자와 현지 가이드라 그런지 역사와 예술 설명이 완전 보기 좋게 정리되어 있네요.. 그냥 가서 대충 즐기고 오는 여행이 아니라 알찬 여행이 될 것 같은 기분.. 추석때 휴가 더 붙여서 다녀오려고 항공편 예매했는데 정말 가대됩니다.. 카페 투어 리스트 업 완료! ㅎㅎ
여행,뉴욕에 살고 있습니다,2022-09-04,4,"일반적인 여행책보다, 좀 더 내밀한 이야기들로 이루어져있네요. 어쩜 하나하나 모든 챕터들이 궁금하고 흥미로운 이야기들인지!"
여행,뉴욕에 살고 있습니다,2022-09-04,4,글쓴이의 뉴욕에 대한 감성은 충분히 느낄 수 있었음 조금 더 구체적인 시간과 장소의 언급이 없다는 것 그리고 글과 사진의 연관성이 떨어진 점은 아쉬웠음
여행,뉴욕에 살고 있습니다,2022-08-30,4,"이국이라는 단어는 언제나 기분 좋은 설렘을 준다. 특히… 프라하, 빈, 파리 그리고 뉴욕… 우리 마음 속에 그 설렘의 랜드마크로 자리 잡은 도시. 읽는 동안 그 랜드마크, 뉴욕을 살고 있는 느낌이 들어 설레였다."
