part,title,date,rating,text
역사/문화,세상에서 가장 짧은 한국사,2022-06-16,4,100개 드려야 하는데 하트가 최대 4개 밖에 안 된다니 원통하네요. 역대급 역사책입니다. 그냥 재밌는 분인줄만 알았는데 글도 이렇게 잘 쓰다니요. 노안이신 것 빼곳 정말 완벽한 분이네요!!!
역사/문화,세상에서 가장 짧은 한국사,2022-07-01,4,택배 빠르고 잘 받았습니다. 고맙습니다.
역사/문화,세상에서 가장 짧은 한국사,2022-06-30,4,책 내용이 너무 좋고 구성이 알차네요. 매우 만족합니다.
역사/문화,세상에서 가장 짧은 한국사,2022-09-06,4,읽기좋네요 시간금방갑니다
역사/문화,세상에서 가장 짧은 한국사,2022-08-31,4,유용하게 읽혀져요 감사
역사/문화,세상에서 가장 짧은 한국사,2022-08-30,4,작가님책 모두 좋습니다. 굿굿굿!!!
역사/문화,세상에서 가장 짧은 한국사,2022-08-30,4,한국사를 읽어 볼 수 있어서 좋아요
역사/문화,세상에서 가장 짧은 한국사,2022-08-26,3,재미있게 잘 읽혀지네요
역사/문화,세상에서 가장 짧은 한국사,2022-08-23,4,재미있게 읽었습니다.
역사/문화,세상에서 가장 짧은 한국사,2022-08-22,4,역사 교과서 보조교재로 사줬어요
역사/문화,세상에서 가장 짧은 한국사,2022-08-21,3,역사를 쉽고 이해하며 다가가기에 좋습니다 필독서로 추천합니다
역사/문화,세상에서 가장 짧은 한국사,2022-08-20,4,필독할 가치가 있는 서적으로 강력히 추천
역사/문화,세상에서 가장 짧은 한국사,2022-08-18,4,역사는 수많은 인과 관계의 총합이다.
역사/문화,세상에서 가장 짧은 한국사,2022-08-16,4,잘 읽어보겠습니다..
역사/문화,세상에서 가장 짧은 한국사,2022-08-16,4,한국사 입문에 큰 도움이 됩니다.
역사/문화,세상에서 가장 짧은 한국사,2022-08-14,4,한국사에 처음 입문하는 사람으로서 잘 읽히는 책입니다!
역사/문화,세상에서 가장 짧은 한국사,2022-08-12,4,한국사의 흐름을 쉽고 재미있게 파악할 수 있어 좋네요~~^^
역사/문화,세상에서 가장 짧은 한국사,2022-08-11,3,우리 역사 전체를 전문가의 시각으로 보여주네요
역사/문화,세상에서 가장 짧은 한국사,2022-08-10,4,전반적으로 역사를 훅 둘러보기는 참 좋다.
역사/문화,세상에서 가장 짧은 한국사,2022-08-08,3,재밌게 잘 읽힙니다. 이미 역사서를 많이 읽으신 분들께도 추천할만 합니다.
역사/문화,세상에서 가장 짧은 한국사,2022-08-07,3,시대별 사건을 파노라마식으로 구성한 한국사
역사/문화,세상에서 가장 짧은 한국사,2022-07-30,4,교과서 공부도 이 책을 읽는 것처럼 흥미롭게 할 수 있다면 좋겠네요^^
역사/문화,세상에서 가장 짧은 한국사,2022-07-27,4,재미있게 잘 읽었습니다.
역사/문화,세상에서 가장 짧은 한국사,2022-07-26,4,한국사에 대해 무지한 것 같아 구매했습니다. 아직 읽어보진 않았지만 기대 되는 책입니다.
역사/문화,세상에서 가장 짧은 한국사,2022-07-24,4,아이가 만족하고 좋아하네요
역사/문화,세상에서 가장 짧은 한국사,2022-07-23,4,쉽게 접할 수 있는 내용으로 부담없이 읽었습니다
역사/문화,세상에서 가장 짧은 한국사,2022-07-19,4,역사에 관한 이해를 높이고
역사/문화,세상에서 가장 짧은 한국사,2022-07-18,4,한국사에 관심많은 1인으로 꼭 읽고싶어서 구입했어요~^^
역사/문화,세상에서 가장 짧은 한국사,2022-07-18,4,짧고 문장이 쉽게 읽히는게 쉬워요 대충 읽어도 과거 배운 역사의 줄기가 이해돼요
역사/문화,세상에서 가장 짧은 한국사,2022-07-17,3,한 권으로 휘리릭 읽기 좋음
역사/문화,세상에서 가장 짧은 한국사,2022-07-17,3,"특히나 왕의 자리를 두고 부모와 자식간 암투,질투---그게 싫어 역사책 멀리한지 오래, 그래도 어쩌랴 우리의 역사인데, 우리가 멀리할 수 없다는 생각에 펼친 역사, 잘 읽었습니다."
역사/문화,세상에서 가장 짧은 한국사,2022-07-16,4,한국사 제대로 공부하고 싶어서 구입했는데 도움이 많이 될 것 같아요.
역사/문화,세상에서 가장 짧은 한국사,2022-07-16,4,매장에 가서 보고 구매했어요 재미있을것같아요
역사/문화,세상에서 가장 짧은 한국사,2022-07-13,4,술술잘읽힙니다 너무좋은책이에요
역사/문화,세상에서 가장 짧은 한국사,2022-07-11,4,역사를 좋아해서 구매했는데 쉽고 재밌게 읽었습니다.
역사/문화,세상에서 가장 짧은 한국사,2022-07-11,4,역사책 이것 저것 많이 보는데 .. 재미있게 잘읽히고 새로운 시각에서 보는 맛도 있어서 좋아요^^
역사/문화,세상에서 가장 짧은 한국사,2022-07-10,3,통사는 아니고 시간순 흥미로운 단편 모음집이네요
역사/문화,세상에서 가장 짧은 한국사,2022-07-10,4,조으다 유용하다 재미지다
역사/문화,세상에서 가장 짧은 한국사,2022-07-07,4,교보문고 들어왔다가 이 책이 눈에 들어와 샀어요. 먼저 읽어보고 중3딸도 읽어보라고하려구요. 작가님의 유튜브도 보니 설명을 재미있게 잘 하시더라구요.^^ 추천합니다
