part,title,date,rating,text
외국어,거의 모든 행동 표현의 영어,2022-04-01,4,"해외에 20년 가까이 살다 한국에 돌아와 지내면서 영어를 왕창 까먹어버린 저희 아이들한테 보여주려 사봤구요ㅋㅋ 이 책 보면서 느낀게, 실생활에서 너무나 필요한 표현인데 사전에서 단어하나 띡 찾아서 내 상황에 맞춰 응용하기 애매한, 그런 가려운 부분들을 최대한으로 긁어준다는 생각이 들어요. 정말 일상에서 자주, 당연하게 쓰이는 표현들이구요. 단순 회화 뿐 아니라 책 제목처럼 어느 곳, 어느 상황에서도 유용할 표현들이 가득이라, 이 책에 나온 내용들만 잘 숙지하고 짜집기할 수 있다면, 회화를 잘하고픈 분들은 엄청 도움이 될 듯요. 작가님이 진짜로 얼마나 세심하게 최대한 다양한 표현을 알려주려 고심하셨는지, 주제마다 보면서 계속 감탄합니다ㅋ"
외국어,거의 모든 행동 표현의 영어,2022-05-04,4,유용한 영어책이네요 표현들도 다양하고 설명도 이해하기 쉬워요
외국어,거의 모든 행동 표현의 영어,2022-04-28,4,의외로 간단한 일상생활 영어에 무지함을 느끼고 공부하려합니다
외국어,거의 모든 행동 표현의 영어,2022-05-02,4,영어 왕초보인 저에겐 구세주 같은 책 입니다. 외우기 쉽게 편하게 볼수 있어서 좋아요~ 영어 싫어하는분께 추천해요.
외국어,거의 모든 행동 표현의 영어,2022-05-02,4,한국을 영어로 어떻게 바꿔써야하는지 그림과 함께 설명이 되어 있어서 정말 유용해요. 들고다니면서 하루에 두 세장씩 암기하고 활용해보면 좋을 것 같습니다^^
외국어,거의 모든 행동 표현의 영어,2022-04-26,4,그림과함께 일상에서 쓰이는 것들이 나열되어 있어서 너무 좋네요.
외국어,거의 모든 행동 표현의 영어,2022-04-18,4,너무 좋은 책이 이제야 나왔네요
외국어,거의 모든 행동 표현의 영어,2022-03-23,4,"삽화도 있고, 내용도 쉽게 설명되어 있고 좋네요."
외국어,거의 모든 행동 표현의 영어,2022-04-30,4,진짜 요긴한 책! 싹 다 외우자!
외국어,거의 모든 행동 표현의 영어,2022-04-29,4,한국말로는 쉬운데 생각보다 영어로 생각이 안나는 경우들을 잘 정리해놓았습니다.
외국어,거의 모든 행동 표현의 영어,2022-04-26,4,그림도 에쁘고 쉽게 잘 읽혀집니다.
외국어,거의 모든 행동 표현의 영어,2022-04-24,4,학습에 많은 도움이 됩니다.
외국어,거의 모든 행동 표현의 영어,2022-04-23,4,그림이 흥미로우서 쉽게 읽혀집니다.
외국어,거의 모든 행동 표현의 영어,2022-04-16,4,이해하기 쉽게 컴팩트한 그림과 함께 내요이 알차요
외국어,거의 모든 행동 표현의 영어,2022-04-09,4,"아! 이런 책이 있어서 너무 고맙다는 생각이 들어요. 이렇게 모아 보고 싶은데 지식의 한계로 할 수 없어서 답답했는데, 대신 해주셔서 답답함이 해소 된 기분이랄까요. 누가 물으면 그건 말이지 라고 하면서 이 책을 펴 보겠습니다. 여태까지 참 많은 이상한 표현을 했던 거구나 뜨끔하게 되는 재미있고,유용한 책입니다"
외국어,거의 모든 행동 표현의 영어,2022-04-08,4,영어의 동사구 정리가 아주 잘 되어 있는 책입니다. 초급자 뿐만 아니라 고급자도 햇갈릴 수 있는 부분 정리가 되어 있어 아주 좋습니다.
외국어,거의 모든 행동 표현의 영어,2022-04-07,4,행동에 대한 표현이 잘 나와있어요
외국어,거의 모든 행동 표현의 영어,2022-04-07,4,친절한 설명 바로듣기 편리 다 좋아요
외국어,거의 모든 행동 표현의 영어,2022-03-21,4,각종 상황에서 적재적소에 응용할 수 있는 문장과 예시들이 너무 좋고 가독성도 훌륭합니다
외국어,거의 모든 행동 표현의 영어,2022-03-20,4,영어에서 잘 어울리는 어휘들이 잘 매칭된 구동사 책이에요~ 그림도 있어서 이해가 더 잘 됩니다 ^^
외국어,거의 모든 행동 표현의 영어,2022-06-14,4,그림으로도 표현되어있어서 이해하거 기억하기 쉬운거 같아요!
외국어,거의 모든 행동 표현의 영어,2022-06-14,4,"잊고지내던 표현법이 다시 기억나고, 무엇보다 정리가 잘되어있습니다"
외국어,거의 모든 행동 표현의 영어,2022-06-09,4,기존의 영어회화 사전을 보충해 줄수 있는 책이라 생각함. 한글 색인과 영어 색인을 함께 제공해서 영어표현 찾는게 수월함.
외국어,거의 모든 행동 표현의 영어,2022-06-08,4,"생각보다 책의 크기가 크고, 내용이 아주 많이 들어있어요. 간단하게 읽을 책이 아닌 것 같아요 ㅎㅎ"
외국어,거의 모든 행동 표현의 영어,2022-06-07,4,여러표현들이 잘 정리되어 있어서 좋습니다
외국어,거의 모든 행동 표현의 영어,2022-06-07,4,다양한 행동을 어떻게 표현하는지 그림과 함께 설명이 되어있어서 이해하기 쉬워요
외국어,거의 모든 행동 표현의 영어,2022-06-05,4,회화공부에 유용해 보여서 구매했습니다~
외국어,거의 모든 행동 표현의 영어,2022-06-05,4,일상생활 영어에 무지함을 느끼고 공부하려합니다
외국어,거의 모든 행동 표현의 영어,2022-06-04,4,아주 유용합니다! 추천
외국어,거의 모든 행동 표현의 영어,2022-06-04,4,"재미있고 유용하게 공부 할 수 있는 책입니다.
추천합니다~~"
외국어,거의 모든 행동 표현의 영어,2022-06-03,4,와이프가 영어 공부 하고 싶어서 사달라고 했는데 좋다고 하네요
외국어,거의 모든 행동 표현의 영어,2022-06-01,4,흥미로워보여서 구매했습니다 막상 말하려면 단어부터 턱 막힐때가 많아서요 도움이 될거 같습니다
외국어,거의 모든 행동 표현의 영어,2022-05-28,4,그림과 설명이 잘되어 있어서 항상 가까이에 두고 잘보고 있습니다 좋아요~^^
외국어,거의 모든 행동 표현의 영어,2022-04-09,4,좋아요 ......
외국어,거의 모든 행동 표현의 영어,2022-03-31,4,남편이 좋다고 열심히 한다네요
외국어,거의 모든 행동 표현의 영어,2022-03-19,4,좋아요.. ....
외국어,거의 모든 행동 표현의 영어,2022-03-29,3,영어로 표현하기 애매했던 것이 예문과 함께 있어서 편합니다. 다양한 장소와 상황에서 잘 쓰겠습니다.
외국어,거의 모든 행동 표현의 영어,2022-09-08,4,거의 모든 행동 표현의 영어
외국어,거의 모든 행동 표현의 영어,2022-09-05,4,유용해요. 근데 어쩌다 찾아보기엔 좋지만 꾸준히 공부하기엔 좀 지루한 면이 있네요.. 구성상..
외국어,거의 모든 행동 표현의 영어,2022-09-03,4,좋은 거 같습니다~~
외국어,거의 모든 행동 표현의 영어,2022-09-03,4,그림이 있어서 기억에 도움이 될 것 같아요.
외국어,거의 모든 행동 표현의 영어,2022-09-02,4,공부 잘하고 있어요!
외국어,거의 모든 행동 표현의 영어,2022-08-31,4,많은 표현이 담아있네요
외국어,거의 모든 행동 표현의 영어,2022-08-29,4,좋은 책입니다. 공부할 수 있을 듯요
외국어,거의 모든 행동 표현의 영어,2022-08-27,4,재미있고 흥미로워요!!!!
외국어,거의 모든 행동 표현의 영어,2022-08-25,2,책 좋아하는 분께 보내드렸습니다
외국어,거의 모든 행동 표현의 영어,2022-08-21,4,정말 유익합니다 ~
외국어,거의 모든 행동 표현의 영어,2022-08-20,4,아주 재밌고 유용해요 스포츠 중계에 도움이 돼요
외국어,거의 모든 행동 표현의 영어,2022-08-19,4,감각적인 디자인에 알찬 구성이 내스타일임. 아직 다 읽지 못했지만 꼭 여러번 읽어볼만한 책.
외국어,거의 모든 행동 표현의 영어,2022-08-10,4,잘읽겠습니다.감사합니다.
외국어,거의 모든 행동 표현의 영어,2022-08-07,4,실용영어서로 좋은 책입니다.
외국어,거의 모든 행동 표현의 영어,2022-08-05,4,좋아요. 재미있습니다. 유용해요 하지만 내용없는 장이 조금 있어서 아쉽네요
