part,title,date,rating,text
인문,눈물 한 방울,2022-07-18,4,삶과 죽음에대한 깊은 통찰이 느껴집니다..
인문,눈물 한 방울,2022-08-27,4,재미있고 흥미로워요!!!!
인문,눈물 한 방울,2022-08-07,4,제 인생의 멘토 같은 분이 떠나시니 마음이 헛헛하네요. 끝까지 좋은 책을 남겨주셔서 감사합니다.
인문,눈물 한 방울,2022-08-04,4,"우리나라의 석학께서 운명하시기전 3년동안 육필로 써내려간 삶과 죽음에 관한 성찰, 눈물 한 방울씩이 매일 모아져 마침내 바다를 이루었습니다."
인문,눈물 한 방울,2022-07-18,4,죽음에 대해 다시 한번 생각케 해 주는 책입니다.
인문,눈물 한 방울,2022-09-07,4,죽음앞에서 그 두려움과 아쉬움 등의 복잡한 감정을 담백하게 담담하게 표현함에 또 놀란다
인문,눈물 한 방울,2022-09-04,4,아직 읽지는 못 했지만 기대 됩니다.
인문,눈물 한 방울,2022-09-04,2,한방울 두방울 세방울 뭐랄까.
인문,눈물 한 방울,2022-09-04,4,선생님의 깊은 통찰력을 느끼며 신중하고 귀한 마음으로 삶에 임하게 됩니다.
인문,눈물 한 방울,2022-09-03,4,평소 읽고 싶던 책이라 좋아요.
인문,눈물 한 방울,2022-09-01,4,거장의 짧은 단편에 묻어난 깊은 사색에 반하고 갑니다...
인문,눈물 한 방울,2022-09-01,4,죽음에 대해 다시 생각하게 하는 하루였습니다.
인문,눈물 한 방울,2022-08-31,4,이어령 선생님의 책을 읽다보니 해당되는 책들을 모두 사게 됐습니다. 삶의 깨달음을 엿 볼 수 있어 고맙고 감사합니다.
인문,눈물 한 방울,2022-08-24,4,삶과 죽음에 대한 생각의 깊이를 엿볼 수 있어서 좋습니다.
인문,눈물 한 방울,2022-08-20,4,꼭 한 번 보고 싶었습니다. 이제서야 구입해서 보게 되네요 !
인문,눈물 한 방울,2022-08-19,4,선생님 쓰신 글을 읽어 나가고 있어요. 때론 미소로 때론 눈물을 머금게 하는 고은 글들입니다.
인문,눈물 한 방울,2022-08-19,2,책 잘 읽었습니다.
인문,눈물 한 방울,2022-08-19,4,선물했어요! 선물 포장 선택할수 있어서 예쁜 선물이 되었습니다!
인문,눈물 한 방울,2022-08-17,4,작가님을 평생 잊지않겠습니다
인문,눈물 한 방울,2022-08-17,4,너무너무 읽어보고 싶었던 책입니다. 아직 읽어보지는 않았지만 너무 기대되는 책이라 벌써부터 설레는 마음으로 책상 앞에 앉았어요. :)
인문,눈물 한 방울,2022-08-17,4,삶과 죽음에 대해 다시 한번 생각해보게됩니다!!
인문,눈물 한 방울,2022-08-09,4,생명과 죽음을 다시 생각하고 현재에 충실하게 되는책
