part,title,date,rating,text
정치사회,계속 가보겠습니다,2022-07-19,4,"발간소식 듣고 바로 구매합니다
임은정씨처럼 올곧은 사람들이 나랏일 하심이 옳은 듯 합니다
항상 응원합니다"
정치사회,계속 가보겠습니다,2022-07-20,4,검찰과 언론에 의해 의도적으로 잘 못 알려진 임은정에 대한 오해와 편견을 일깨우는 책. 임은정이 직접 말하는 이야기에 귀를 기울여보자.
정치사회,계속 가보겠습니다,2022-07-21,4,많은 분들께 일독을 권합니다!
정치사회,계속 가보겠습니다,2022-07-21,4,검찰 내부자의 입장에서 본 검찰 문제라서 세세하고 잘 설명이 되어서 좋습니다
정치사회,계속 가보겠습니다,2022-07-20,4,구매했습니다 화이팅입니다!!
정치사회,계속 가보겠습니다,2022-07-23,4,"마음의 빚을 작지만, 책구입으로 대신합니다. 평소 인터뷰보다 더 담백하고, 강건한 글을 볼수 있어 고맙습니다. 작가데뷔 축하합니다. 같이 갑시다. !! ㅎㅎ"
정치사회,계속 가보겠습니다,2022-07-23,4,검찰의 병든 모습. 검찰개혁의 절실함.
정치사회,계속 가보겠습니다,2022-07-25,4,가짜공정 이 아닌 진짜공정 가짜정의 가 아닌 진짜정의 가 이책에 있다고 확신합니다 외로운 싸움에 임은정검사 를 응윈합니다
정치사회,계속 가보겠습니다,2022-07-21,4,"이 林恩貞 검사...처음엔 主要 언론사에서 報道한 내용 그대로 認知를 해 先入見과 偏見으로 대했습니다...그런데 얼마 전, 전부는 아니지만 생각을 바꾸게 된 계기가 있었습니다...林검사가 쓴 이 책이 출간된다기에 기다리다 오늘 購買했습니다...이 책 내용이 저의 나머지 생각을 완전히 바꾸는 계기가 되었으면 합니다....참고로, 推薦辭를 쓴 이연주 변호사가 쓴 ‘내가 검찰을 떠난 이유’로 昨年 08월 購讀했습니다. 많이 공감했던 책이었습니다."
정치사회,계속 가보겠습니다,2022-07-24,4,새로운 도전을 응원합니다.
정치사회,계속 가보겠습니다,2022-07-26,4,윤가 나부랭이들이 설처대는 검찰공화국의 속내를 알고 싶어서.
정치사회,계속 가보겠습니다,2022-07-25,4,응원합니다. 제대로 된 공정과 상식이 통하는 사회를 위하여...
정치사회,계속 가보겠습니다,2022-07-25,4,국민의 공복으로서 한 점 부끄럼없이 살기위하여 고군분투하는 열정과 고뇌와 진정성에 머리숙여 감사드린다.이런 삶이 진정 참세상을 위한 용기있는 者(?)의 표상이 아닐까?
정치사회,계속 가보겠습니다,2022-07-25,4,"최고의 책입니다.
대한민국 국민들이 꼭 봐야."
정치사회,계속 가보겠습니다,2022-07-25,4,검사님 힘내세요 응원합니다
정치사회,계속 가보겠습니다,2022-07-25,4,이렇게라도 응원할 수 있어서 기쁘고 감사합니다. 세상은 이런 분들이 계셔서 살만합니다. 화이팅입니다.!!
정치사회,계속 가보겠습니다,2022-08-10,4,너무 너무 좋은책.
정치사회,계속 가보겠습니다,2022-08-03,3,"공직을 은퇴한 사람으로서 얼마나 힘들었을까 하는 안타까움이 앞섭니다. 이런 분들의 노고에 의해 검찰의 모습이 바뀌길 희망해 봅니다. 잘 읽어보겠습니다. 또한 아직 끝나지 않은 길 같이 가며 응원합니다. 책 내용과는 관계없으나, 배송시 비에 젖어 왔네요, 비닐 포장에도 불구하고… 참고하시라고 알려드립니다."
정치사회,계속 가보겠습니다,2022-08-03,4,임은정작가의 검찰사랑이 느껴지는 정직하고 청렴한 검사직 보여주니 독자와 국민은 그래도 위안된다. 검찰이 국민속으로 들어와서 정신차리는 날이 올 것이라 믿습니다. 국민은 명령할 것입니다.
정치사회,계속 가보겠습니다,2022-07-31,4,우리나라 검사는 진정한 검사인지 궁금했는데 아닌것을 알았읍니다 국민을 위한 검사가 아닌 검사들만의 검사 조폭과 같은 자기들만의 세상에 사는 검사 임은정검사 2 3가 나오지 못하는 검사 참으로 한심합니다 임은정검사님 항상 응원합니다
정치사회,계속 가보겠습니다,2022-07-31,4,"☆계속 가보겠습니다☆ 우리가 수없이 들었던 이름'검사 임은정' 많은 사람들은 언론이 제멋대로 내갈겨 쓴 임은정을 기억하고 있다. 악녀.미치광이.좌파 등 검찰의 이단아로.... 나는 그녀가 쓴 책""계속 가보겠습니다""를 읽었다. 이 책은 단순한 내부고발을 넘어서 사법의 권력이 우리 국민에게 우리의 역사에 얼마나 큰 해악을 끼치고 있는지를 새삼 깨닫게 해주었다. 소문으로만 들어왔던 칼을 쥔 검사들의 남용된 수사권 행사와 그들의 일탈된 행동을 그녀의 담담한 내부고발에서 똑똑히 보게 되었다. 이제는 변해야 한다. 그리고 내려 놓아야 한다. 대한민국 검찰은 권력기관이 아니며 기득권 집단이 아닌 선량한 국민의 시종이라는 것을 .... 나는 응원한다. 검사 임은정이 계속가기를...."
정치사회,계속 가보겠습니다,2022-07-30,4,소신있게 자기 이야기를 할 수 있는 용기! 응원합니다.
정치사회,계속 가보겠습니다,2022-07-30,4,구매했습니다. 항상 응원 하고 있습니다. 힘내십시오!!
정치사회,계속 가보겠습니다,2022-07-29,4,책속의 내용에 가슴이 뜁니다.
정치사회,계속 가보겠습니다,2022-09-04,4,권력은 진실을 잠시 가릴 수는 있어도 영원히 가릴 수는 없지요. 책일부분...꼭 읽어보세요.영화보다도 더 재밌게 읽을 수 있습니다..전국민 모두 읽어야 할 책 입니다. 강력추천합니다.
정치사회,계속 가보겠습니다,2022-09-02,4,찬찬히 꼼꼼하게 읽고 있네요 그간 방송등을 통해 알려진 내용보다 더 가슴이 벅차오르는 내용이네요!!
정치사회,계속 가보겠습니다,2022-09-02,4,읽고 싶었어요. 잘 읽혀요..
정치사회,계속 가보겠습니다,2022-09-02,4,어려운 길을 가고 있는 값진 인생~ 응원합니다.
정치사회,계속 가보겠습니다,2022-09-01,4,언제나 든든한 검사님 응원합니다~♡
정치사회,계속 가보겠습니다,2022-09-01,3,분명히 좋은 내용입니다. 다만 끝까지 읽기에는 많은 인내심이 필요하네요.
정치사회,계속 가보겠습니다,2022-08-30,4,대한민국 검찰의 민낯을 알 수 있는 책입니다.
정치사회,계속 가보겠습니다,2022-08-29,4,"임은정 검사님 화이팅 ^^
재미있게 잘 읽고 있습니다. ^^"
정치사회,계속 가보겠습니다,2022-08-27,4,이렇게라도 응원드립니다. 힘내세요!!
정치사회,계속 가보겠습니다,2022-08-23,4,그래도 우리나라에 이런 분이 계셔서 다행이라는 생각
정치사회,계속 가보겠습니다,2022-08-23,4,다음 책도 응원합니다
정치사회,계속 가보겠습니다,2022-08-23,4,용감한 검사가 겪은 검찰 내부의 부조리를 이해하는 데 매우 유익합니다.
정치사회,계속 가보겠습니다,2022-08-23,4,"임은정 검사는 그 쉽지 않은 길을 오고도..
또 계속 가보겠다고 이야기한다.
그 길을 응원합니다"
정치사회,계속 가보겠습니다,2022-08-22,4,"21세기 대한민국에서 일어나고 있는 이해되기 힘든, '검찰공화국'의 내면을 일부나마 이해할 수 있다."
정치사회,계속 가보겠습니다,2022-08-22,4,선물로 구입한 책입니다. 저도 읽어보겠습니다
정치사회,계속 가보겠습니다,2022-08-22,4,재미있게 잘 읽었습니다.
정치사회,계속 가보겠습니다,2022-08-22,4,"대한민국 썩은 검찰, 언제까지 이대로..."
정치사회,계속 가보겠습니다,2022-08-22,4,검사님의 생각과 용기를 응원합니다. 한명의 의견이 둘이 되고 넷이 되고.... 그렇게 법앞에 공정하게 행동하는 분이 많아졌으면 좋겠습니다
정치사회,계속 가보겠습니다,2022-08-21,4,용기있는 임은정 검사의 모습에 박수와 응원을 보냅니다.
정치사회,계속 가보겠습니다,2022-08-21,2,내부자의 시선으로 검찰 내부를 살짝이나마 보고 느낄 수 있었습니다.
정치사회,계속 가보겠습니다,2022-08-21,4,"안녕하세요 임은정 검사님, 책 잘읽었습니다. 짧지만 그래도 역사를 공부한 사람으로서, 검사님의 행보를 지지합니다. 언젠가 뒤돌아 보시는 날 뒤에 함께 서있을 수 있도록 노력하겠습니다. 책을 써주셔서 감사합니다."
정치사회,계속 가보겠습니다,2022-08-19,4,작가되신것 축하드려요 여러번 읽어보려합니다
정치사회,계속 가보겠습니다,2022-08-19,4,검찰의 썩어 문드러진 모습을 끝까지 기록하고 알리고 퍼트려주세요 응원합니다!!!
정치사회,계속 가보겠습니다,2022-08-18,4,"검찰 개혁이 왜 필요한지를 알겠다. 짐작은 했지만, 검찰조직의 불온함에 어이가 없다 임은정 검사님! 계속 가 주십시오!1 응원합니다."
정치사회,계속 가보겠습니다,2022-08-18,4,기대됩니다 잘 읽어보겠습니다
정치사회,계속 가보겠습니다,2022-08-17,4,임은정 검사님 응원합니다. 2권 기대하며 기다립니다.
정치사회,계속 가보겠습니다,2022-08-17,4,임은정 검사님~ 응원합니다. 2권 기다립니다~
정치사회,계속 가보겠습니다,2022-08-17,4,응원합니다. 우리 세상이 공정과 정의가 실현되길. .
정치사회,계속 가보겠습니다,2022-08-17,4,우리가알지못하고있던새로운사실들이있어매우유익한내용입니다우리사회를다시한버뒤돌아보게되네요
정치사회,계속 가보겠습니다,2022-08-16,4,임은정검사님의 용기에 늘 감사한 마음입니다 지치지 마시고 강건하시길 기도드립니다
정치사회,계속 가보겠습니다,2022-08-16,4,"검사와 싸우는 검사.. 지금은 검사가 행정부의 수장!
3권분립이 위험합니다."
