part,title,date,rating,text
종교,"하나님, 저 잘 살고 있나요?",2022-04-12,4,좋은책 내주셔서 감사합니다!! 대한민국 모든 크리스찬들이 다 읽었으면 좋겠어요 저도본받고 싶습니다
종교,"하나님, 저 잘 살고 있나요?",2022-04-20,4,두번 정독하려구요 내용이 좋아요
종교,"하나님, 저 잘 살고 있나요?",2022-03-30,4,나의 마음이 혼란스러울때 차분하게 묵상을 할 수 있는 것 같다.
종교,"하나님, 저 잘 살고 있나요?",2022-04-11,4,예수님과의 동행일기 저도 오늘부터 시도해봐야겠어요 잔잔한 감동을주는 작가님의글 ᆢ최곱니다������
종교,"하나님, 저 잘 살고 있나요?",2022-08-28,4,주님과 교제하고 싶은데 책을 찾던중 인스타보다가 그림체랑 이뻐서 구매하게 됐습니다◍•ᴗ•◍ 내용이 좋아서 몇친구들에게도 선물을 해주었는데 좋아해줘서 좋았어여 ṑṑ
종교,"하나님, 저 잘 살고 있나요?",2022-08-28,4,"크리스천이라면, 청년이라면 모두가 읽어야 하는 책. 책의 제목은 하나님 저 잘 살고 있나요? 라는 질문형이지만 책을 다 읽고 나면 하나님, 나 어떻게 사는게 잘 사는 것인지 알겠어요.가 되는 책. 길지도, 어렵지도 않은 분량과 내용에 속에 있던 걱정, 고민, 불안이 어느새 감사로 바뀌고 삶의 원동력으로 바뀌어 있는 전환점과 같은 책입니다. 마음 속에 위로가 필요하다면, 크리스천으로 살아가며 어려움과 고민들이 있다면, 자신의 삶을 한 번쯤 돌아보고 싶다면 꼭 한 번 읽어보기를 추천합니다. 당신은 하나님의 꿈입니다."
종교,"하나님, 저 잘 살고 있나요?",2022-07-15,4,마음이잔잔해지는 기분이요.
종교,"하나님, 저 잘 살고 있나요?",2022-04-20,2,술술 금방 읽ㅎㅕ요
종교,"하나님, 저 잘 살고 있나요?",2022-04-08,4,귀한 책 내주셔서 감사합니다! 신앙 위인의 이야기가 아니라 친구의 이야기라서 더 은혜가 됩니다.
종교,"하나님, 저 잘 살고 있나요?",2022-02-25,4,어머니께 선물 드렸어요 다 읽으시면 저도 보려고 합니다 모든 분들이 은혜로운 삶을 사시길
종교,"하나님, 저 잘 살고 있나요?",2022-02-10,4,Sns에서우연히 작가님의 글을보고 작가님의팬이 됐는데 이번 책을 통해 작가님을 더 좋아하게됐어요 선한영향력의 아이콘 전대진작가님의 시편!!!너무 감동입니다��좋은책 내주셔서 감사합니다
종교,"하나님, 저 잘 살고 있나요?",2022-09-09,4,신앙생활 잘해보겠습니다
종교,"하나님, 저 잘 살고 있나요?",2022-09-06,4,잘읽혀요!! 인스타에서 보고 내용이 좋아 책 구매했어요
종교,"하나님, 저 잘 살고 있나요?",2022-08-28,4,"작가님 책을 읽으면서 신앙생활을 어떻게 해야하는지, 하면서 어려울땐 어떻게 극복해야할지 배울 수 있는 좋은 책! 여러 번 읽어도 항상 새롭고 좋은 책입니다!!"
종교,"하나님, 저 잘 살고 있나요?",2022-08-28,4,제가 먼저 읽어보고 너무 좋아서 지인분들께도 생일때 선물해 드렸어요 :) 너무 좋아 하시더라구요 :) 좋은 묵상집 내주셔서 감사합니다 ㅎ 저도 가끔 생각날때 다시 읽어보곤 해요 :) 작가님 좋은책 내주셔서 감사합니다 ❤️❤️❤️ 사랑하는사람들께 선물해주기 너무 좋은 책이에요 ㅎ 주변에 혹시 마음을 건내주고 싶은 분들이 있다면 선물로 드리면 좋을거 같아요 ���� 강추 강추 ~!
종교,"하나님, 저 잘 살고 있나요?",2022-08-28,4,"젊은이들, 크리스천이 실제론 빛과소금은 커녕 개독교라 욕먹으며 사람들에게 밟히고 다녀 슬프고 , 본인들만 구원받은것으로 족하다 생각하는 소극적인 크리스천들 뿐이라 나는 , 어찌해야하나 , 누구에게 배워야하나 쓰임받고 싶은데 어쩌지 하며 막막하기도 했는데 이책이 많은 도움이 되었던 것 같습니다 ~ ㅎㅎ 내가 좋아하는것 / 잘하는것/ 세상에 도움이 되는 것/ 하나님 영광이되고 영혼 구원 할 수 있는것 찾는데 한걸음 나아 갈 수 있게 되었습니다 ~ ㅎㅎ"
종교,"하나님, 저 잘 살고 있나요?",2022-08-26,1,하나님과의 관계를 다시 생각해보게 되네요
종교,"하나님, 저 잘 살고 있나요?",2022-08-24,4,하나하나 감사하는 마음으로 읽히게 됩니다.
종교,"하나님, 저 잘 살고 있나요?",2022-08-12,4,하나님과 함께하는 삶에 대해 더 견고해질수 있는 마음을 갖게해주는 책이에요~
종교,"하나님, 저 잘 살고 있나요?",2022-06-24,4,너무 도움이되네요감사요
종교,"하나님, 저 잘 살고 있나요?",2022-06-07,4,묵상이 잘 안되서 성경책 대신 무엇을 할까 하다가 선택했어요~ 공감가는 말이 참 많아요 고맙습니다
종교,"하나님, 저 잘 살고 있나요?",2022-06-07,4,요즘 묵상이 잘 안되서 성경대신 이 책을 선택했어요~ 마음에 와닿는 글들이 참 많네요!
종교,"하나님, 저 잘 살고 있나요?",2022-06-06,4,금방 읽을 수 있는 책이고 나의 신앙에 대해 점검 해보게 됩니다
