part,title,date,rating,text
청소년,죽이고 싶은 아이,2022-06-01,4,아이가 읽고 싶어해 샀는데 저도 따라 다 읽었네요 가독성 좋고 잡으면 바로 끝까지 읽을 수 있는 책이예요 어려서 혹은 나이 들어서도 경험할 수 있는 인간관계의 상대성에 대한 이야기이고.. 무언가 생각이 많게 만드는 책이네요 얼마 전에 본 드라마 에피도 떠오르게 하고요 추천합니다
청소년,죽이고 싶은 아이,2022-08-29,4,중1인데 너무 재미있게 읽었고 정말 잘 읽혔어요�� 스토리가 너무 좋고 흡입력 있어서 홀린듯이 봤어요
청소년,죽이고 싶은 아이,2021-06-20,4,아이가 많이 좋아합니다.
청소년,죽이고 싶은 아이,2022-07-03,4,초등학생이 너무 재미있어 해요
청소년,죽이고 싶은 아이,2021-11-02,4,중1아들 소설 사주려고 선택했습니다.
청소년,죽이고 싶은 아이,2022-09-08,4,아이가 골랐어요~~
청소년,죽이고 싶은 아이,2022-09-01,4,시간가는줄도 모르고 몰입하며 읽었습니다
청소년,죽이고 싶은 아이,2022-08-26,4,한 개인을 바라보는 대중들의 시선에 따라 그 개인의 인격과 삶이 판단될수도 있다는 것을 느끼게 해준 좋은 책이네요..! 흥미진진한 구조로 뒤에는 대반전이어서 놀랬어요^^ 꼭 읽어보길 바라는 중1 추천도서������
청소년,죽이고 싶은 아이,2022-08-26,4,학교 독서시간 필독서입니다.재밌어요
청소년,죽이고 싶은 아이,2022-08-22,4,아이가 참 재미있게 읽었어요
청소년,죽이고 싶은 아이,2022-08-21,4,아이가 재밌게읽었어요
청소년,죽이고 싶은 아이,2022-08-14,4,완전 잘 읽혀서 재밌게 봤어요 그리고 쪽수가 그렇게 많지도 않아서 심심할때 보기 좋아용
청소년,죽이고 싶은 아이,2022-08-12,4,중학생 도서로 잘 읽었습니다.
청소년,죽이고 싶은 아이,2022-08-11,4,아이가 좋아합니다.
청소년,죽이고 싶은 아이,2022-08-05,3,아이가 재미있게 보고 있어요
청소년,죽이고 싶은 아이,2022-08-03,4,아이가 읽어보고 싶다해서 구입했습니다 많은 생각을 하게 만들어준 책입니다
청소년,죽이고 싶은 아이,2022-07-23,4,필독서 목록에 있어서 구입했어요
청소년,죽이고 싶은 아이,2022-07-19,4,아이가 읽기 전에 제가 먼저 봤어요. 생각할 게 많았던 책입니다. 추천합니다.
청소년,죽이고 싶은 아이,2022-07-19,4,"아이가 읽어도, 제가 읽어도 좋네요."
청소년,죽이고 싶은 아이,2022-07-17,4,아이가 작가님 작품에 푹 빠졌네요. 감사합니다.
청소년,죽이고 싶은 아이,2022-07-08,4,단번에 읽었어요. 독서 좋아했었는데 왜인지 요즘 집중이 안됐었는데 이 책을 계기로 다시 독서에 빠지게 되었어요. 감사해요
청소년,죽이고 싶은 아이,2022-07-04,4,아이가 사달라고 해서 구매했는데 단시간에 읽었네요
청소년,죽이고 싶은 아이,2022-07-03,4,아이가 재미있어하네요 좋아요좋아요
청소년,죽이고 싶은 아이,2022-06-21,4,아이가 재미있어해요
청소년,죽이고 싶은 아이,2022-06-20,4,아이가 너무 재미있게 읽었습니다.친구 선물로도 구입했어요
