id,document,label
0,"굳이 이런 가벼운 글을 읽기 위해 책을 사야하는지....
동네 도서관에서 빌려 숨 한번 쉬고 슬슬 읽으면 딱인 책.",0
1,"스스로 비관적이고 부정적인 성격이라고 생각이 든다면 한번 읽어보시길,,,왠만한 자기계발서 10권보다 나은 책입니다.",1
2,영화부터 봤는데 엄청 재미없어서 소설은 어떨까 했다. 진짜 재미없는 이야기면 어쩌지 했는데 역시나 각색이 별로라 그랬던 모양. 히가시노 게이고의 소설들 중 주로 읽었던건 추리쪽이지만 이 책은 추리소설이 아님에도 탐정이 등장하지 않는데도 재미있다. 판타지와 드라마가 적절히 배합되어 놀라운 기적의 순간을 창조해낸다. 따뜻하고 인간적인 냄새가 물씬 풍겨나는 이야기라 정말 마음에 든다. 요즘 같이 고민이 많은 시절에 나도 내이야기를 들어주는 나미야 잡화점 할아버지를 만나봤으면 닢다.,1
3,나미야 잡화점의 기적... 명작이라고 생각한다!! 추리소설도 아닌 소설이 추리소설처럼 아주 잘 짜여지고 엮어져 술술 풀어나간다! 감동적이고 따듯한 소설이다..,1
4,궁금해서 계속 읽게 됩니다. 흥미롭고 빠져드는 이야기,1
6,따뜻한 이야기가 가득해요,1
7,히가시노게이고하면 떠오르는 치밀한 연계성을 갖춘 마음 따스한 치유의 책.,1
8,읽기좋아요,1
9,마음이 따뜻해져요,1
10,"굳이 이런 가벼운 글을 읽기 위해 책을 사야하는지....
동네 도서관에서 빌려 숨 한번 쉬고 슬슬 읽으면 딱인 책.",0
12,"두권선물하고, 또 구매하게 되네요~ 소장하고싶은책입니다^^ 역시 작가님♡",1
13,한번 읽기 시작하면 다 읽을때까지 손을 땔 수 없는 아우라,1
14,"5편에 단편으로 구성되어 있어 얘기마다 재미있었어요.. 2장 ""한밤중에 하모니카를""은 주인공의 꿈인 음악과 집안에 가업을 물려받을지에 대한 고민을 하게되는....따뜻하면서도 슬픈 이야기네요",1
15,리커버가 이뻐서 구입했는데 겉표지가 어떻게 이렇게 더러울까요. 비닐에 먼지가 묻었나 하고 뜯었는데 헉 종이 표지가 더러운거였어요. 너무하네요. 이런걸 보내시다니.,0
16,마음이 따뜻해지는 책이었습니다,1
17,너무 재밌게 읽은 책. 여러 에피소드에 데해 고민도 같이 하고 재밌어요.,1
19,추리소설은 여윽시,1
20,책 재밌어요!! 이야기전개가 이렇게 흘러갈까 생각하면서 읽다가도 예상과 빗나가게 전개되니 더 재밌네요,1
22,흥미진진한 히가시노 게이고의 역작,1
23,좋아요!!,1
24,역시나 기대를져버리지않네요 ㅎ,1
26,원래 일본 작가 책 잘 안읽는데 최근 워너원 박지훈군이 감명깊게 읽었다고 해서 주문합니다. 후기내용들을 보니 좋은 책인것 같아요. 기대됩니다,1
27,워너원 박지훈 군이 추천해줘서 읽어보려고 주문했어요 ^^ 원래 추리소설 좋아하는데...ㅎㅎㅎ 벌써 기대되네요 얼른 내일 받았으면 좋겠어요 ~~~!!!!,1
28,따스한 책!!!,1
29,시간 가는줄 모르고 읽었습니다 그만봐야지 하면서도 덮지 못하고 계속 읽게될만큼 정말 재밌게 봤습니다,1
30,영화보단 책이 더 좋은 것 같아요!!,1
31,"오랜만에 읽은 감동 스토리. 너무도 완벽히 짜여진 감동 스토리에 마음이 찡. 책을 펼치는 순간, 빠져나갈 곳이 없는 무한 감동에 빠지게 된다. ^^",0
32,재밌게 읽었습니다. 작가를 모르고 구입했는데 작가 보고 놀랐네요,1
33,중학생 조카가 이미 읽어보고나서 소장하고 싶은 책이라기에 사줬는데 몇 페이지를 열어보니 나도 읽고 싶은 생걱이 들었다. 하나 더 사기는 그렇고 빌려서 봐야겠다 ^^,1
34,쉽게 읽히고 생각할거리를 주는 재미있고 유익한 책입니다,1
35,아이가 좋아할거같아서 구입해서 선물했어요:),1
36,아이 과제 때문에 샀는데 좋네요 ^^,1
37,"너무 가볍다고 느낄 수도 있지만, 제게는 적당한 무게감이었어요.",1
38,너무 잘 읽었습니다.,1
39,영화를 몇번보고 책으로 읽어보고 싶어 구매했어요 마음 따뜻해지는 내용이라 괜찮아요,1
40,생각보다 두꺼운 책을 하루만에 읽었다 마음이 따뜻해지고 순수해지는거 같았딘,1
41,"오랜만에 읽은 감동 스토리. 너무도 완벽히 짜여진 감동 스토리에 마음이 찡. 책을 펼치는 순간, 빠져나갈 곳이 없는 무한 감동에 빠지게 된다. ^^",0
42,재밌게 읽었습니다. 작가를 모르고 구입했는데 작가 보고 놀랐네요,1
43,중학생 조카가 이미 읽어보고나서 소장하고 싶은 책이라기에 사줬는데 몇 페이지를 열어보니 나도 읽고 싶은 생걱이 들었다. 하나 더 사기는 그렇고 빌려서 봐야겠다 ^^,1
44,재밌습니다. 글이 술술 읽힙니다,1
45,어려움 없이 잘 읽힙니다,1
46,많은 이들이 추천하고 읽은 책에는 다 이유가 있는 것 같습니다. 웬만한 흔하디 흔한 자기개발서들 보다 더 도움이 되었던 것 같네요. 추천합니다!,1
47,자녀방학숙제용으로 구입했습니다,1
48,학생들이간단하게 읽기 좋은 추리소설 같아요~ 추천!,1
49,이 책은 명성 그대로 임 乃,1
50,기대하지않았는데 흥미진진해서 한번에 다 읽었네요..,1
51,재미있고 감동이 있는 책,1
52,"하루에 몇자라도 책읽는 습관 만드려고 구매했는데 실패했어요. 왜냐면 3시간 만에 다 읽어버렸거든요.. 멈출수가 없어요ㅠㅠ 재밌는데 여러 생각도 드는 책이었습니다,,★",1
53,아직 읽지 않았지만 믿고 보는 히가시노 게이고! 기대 됩니다.,1
54,영화와 또 다른 느낌입니다.,1
55,학교 필독서로 구매했어요,1
56,히가시노 게이고 책중에 가장 서정적이고 희망적인 책이라 생각이 듭니다. 물론 개인적인 견해이지만. 암튼 잘 읽고 있습니다.,1
57,좋아요. 잘 읽겠습니다.,1
58,좋기는 한데 예 그렇슴다,1
59,서점에서 서서 보다가 구입하게 될 정도로 단기간에 매력을 발산하네요,1
60,시공간을 뛰어 넘는 환타지,1
62,유명한 책을 이제야 읽어보았는데 생각보다 너무 재미있었습니다.,1
63,매우좋아요 감사합니다 ㅎㅎ 감사합니다 ㅎㅎ 감사합니다 ㅎㅎ,1
64,재밌게 잘 읽고 있어요,1
65,읽으면 읽을수록 지로후지 않고 때론 깊이 음미하게 된다.,1
