part,title,date,rating,text
TOEIC/TOEFL,해커스 보카(Hackers Vocabulary),2021-04-28,1,"처음 이 책을 배송 받았을 때부터 겉 표지가 3cm가량 찢어져 있고, 책 초반부에 연필로 줄이 그어져 있는 것을 확인했습니다. 군에서 배송 받은 것이라 다시 받는 과정도 번거롭고 해서 그냥 씁니다만 검수를 전혀 하지 않고 보내는 교보문고 업무처리 방식에 너무 실망스럽네요."
TOEIC/TOEFL,해커스 보카(Hackers Vocabulary),2018-12-28,2,학원에서 필요해서 구입했어요
TOEIC/TOEFL,해커스 보카(Hackers Vocabulary),2018-08-24,3,좋아요.
TOEIC/TOEFL,해커스 보카(Hackers Vocabulary),2020-09-17,4,비슷한 뜻의 단어들의 배열이 참 구성이 좋다고 생각합니다 좋습니다
TOEIC/TOEFL,해커스 보카(Hackers Vocabulary),2021-05-02,4,학원교재로 하고 있는데 잘 하네요.
TOEIC/TOEFL,해커스 보카(Hackers Vocabulary),2022-09-07,4,"예시문과 동의어, mp3가 제공되어 공부하기 정말 좋아요"
TOEIC/TOEFL,해커스 보카(Hackers Vocabulary),2022-09-02,4,토플 기본서로 완전 추천해요
TOEIC/TOEFL,해커스 보카(Hackers Vocabulary),2022-09-01,4,고전이죠~ 토플의 필수관문
TOEIC/TOEFL,해커스 보카(Hackers Vocabulary),2022-08-25,4,잘 공부하겠습니다.
TOEIC/TOEFL,해커스 보카(Hackers Vocabulary),2022-08-23,3,단어 공부에 유용해요
TOEIC/TOEFL,해커스 보카(Hackers Vocabulary),2022-08-17,4,학원 교재로 필요해서 샀는데 잘 쓰고있어요.
TOEIC/TOEFL,해커스 보카(Hackers Vocabulary),2022-08-08,4,해커스에서 만들어 선호도를 높인 수험생용 어휘력 보강 교재.
TOEIC/TOEFL,해커스 보카(Hackers Vocabulary),2022-08-06,4,단어공부좀 하려고 구입했어요 여름방학을 알차게 보내보려구요
TOEIC/TOEFL,해커스 보카(Hackers Vocabulary),2022-08-04,4,필수필수필수!!!!!!!!!
TOEIC/TOEFL,해커스 보카(Hackers Vocabulary),2022-08-02,4,토플 준비의 기본인 책이에요
TOEIC/TOEFL,해커스 보카(Hackers Vocabulary),2022-07-30,4,토플에 많은 도움이 됩니다
TOEIC/TOEFL,해커스 보카(Hackers Vocabulary),2022-07-30,4,내용 충실하고 좋아요
TOEIC/TOEFL,해커스 보카(Hackers Vocabulary),2022-07-26,4,음원을 들으먼서 익히니 효과가 더 있을 듯 합니다
TOEIC/TOEFL,해커스 보카(Hackers Vocabulary),2022-07-16,4,학원교재로 구입했어요
TOEIC/TOEFL,해커스 보카(Hackers Vocabulary),2022-07-14,4,영어학원 단어교재로 사용하고있습니다~ 유용하게 잘쓰고있어요
