,part,title,date,rating,text
0,가정생활,내 아이를 바꾸는 위대한 질문 하브루타,2022-08-02,1,내가 이 책을 왜 샀지. 생각하게 하는 책이에요. 깊이도 없고 이론적 바탕도 없고 본인 일기를 문법에 맞지도 않는 문장으로 써놨어요
1,가정생활,내 아이를 바꾸는 위대한 질문 하브루타,2022-08-03,1,최근 구매한 책중 가장 기발했네요. 본인일기라고 하신 댓글에 공감하구요. 인스타 광고의 힘인가 ... 부모이고 엄마인건 알겠는데 작가로 논리와 공감이 전혀 안되네요
2,가정생활,내 아이를 바꾸는 위대한 질문 하브루타,2022-08-12,4,모든 엄마가 공감하고 직접 적용해 볼 수 있는 하브루타 대화를 제시한다
3,가정생활,내 아이를 바꾸는 위대한 질문 하브루타,2022-08-09,4,이해하기쉽고 편하게 접근할수있게 하브루타교육법을 본인의 경험과함께 잘풀어낸책이네요~ 책이 어렵고 지루하지않아서 좋아요~
4,가정생활,내 아이를 바꾸는 위대한 질문 하브루타,2022-07-31,4,그냥 쭉쭉 읽어 내려가는 책이다라고 표현하기에는 그렇고 많은 생각을 하게 하는 책이다라고 표현할 수 있을 것같다. 책을 읽고 과연 실천을 할 수 있겠는가 하는 것은 별개의 문제일 수 있다. 그 이전에 부모 스스로가 자문자답을 통해 과연 나는 아이들에게 어떻게 하고 있는가? 하는 통찰이 필요한 것인지 모른다.
5,가정생활,내 아이를 바꾸는 위대한 질문 하브루타,2022-07-27,4,스스로 생각하고 해결하는 아이로 키울 수 있었으면 좋겠네요.
6,가정생활,내 아이를 바꾸는 위대한 질문 하브루타,2022-08-29,4,잘 읽히는데 깊이가 조금 부족해요
7,가정생활,어떻게 말해줘야 할까(60만 부 기념 한정판 리커버),2022-07-29,2,나쁘지 않아요. 그렇지만 비싸네요.
8,가정생활,어떻게 말해줘야 할까(60만 부 기념 한정판 리커버),2022-08-04,4,육아의 새로움을 배우는 지짐서
9,가정생활,어떻게 말해줘야 할까(60만 부 기념 한정판 리커버),2022-08-22,4,"책 한권 읽는다고 좋은아빠가 될 순 없지만, 좀 더 나은 아빠가 되기 위해 정독해보1612."
10,가정생활,금쪽이들의 진짜 마음속,2022-05-18,4,잘 받았습니다. 기대됩니다.
11,가정생활,금쪽이들의 진짜 마음속,2022-06-23,4,임신한 친구에게 선물해줬어요~ 처음 엄마가 된 친구가 이 책을 읽고 건강하고 밝게 잘 키웠으면 좋겠어요~!
12,가정생활,금쪽이들의 진짜 마음속,2022-06-11,4,"아이들의 마음 병원에 다녀온 것 같아요. 어이들의 행동을 이해할 수 없을 때, 찾아보면서 이해하고 마음을 나눌 수 있도록 도와주는 유용한 책입니다."
13,가정생활,금쪽이들의 진짜 마음속,2022-05-31,4,감사합니다^^ ㅎㅎ
14,가정생활,금쪽이들의 진짜 마음속,2022-06-29,4,좋은 아빠가 되고 싶습니다
15,가정생활,금쪽이들의 진짜 마음속,2022-08-29,4,아주아주 마음에 들어요 강추합니다
16,가정생활,금쪽이들의 진짜 마음속,2022-08-24,4,상세한 설명이 좋아요
17,가정생활,금쪽이들의 진짜 마음속,2022-08-21,4,역시 오은영박사님입니다
18,가정생활,금쪽이들의 진짜 마음속,2022-08-18,4,한번쯤 꼭 읽어봐야 할 책!
