part,title,date,rating,text
건강,백년허리 1: 진단편,2021-05-07,4,당장 시술하라고 온갖 불필요한 검사 다 시킨 병원에 대한 불신으로 네이버 척추카페에 가입을 하고 카페에서 교수님을 알게 되고 책은 절판이 되어 못 사고 교수님 유튜브 열심히 보고 있다가 드디어 샀습니다. 허리 아픈 분들 뿐 아니라 모든 분들에게 선물하고싶은 책입니다. 교수님! 정말 감사합니다. 엄마가 책 잘 샀다고 너무너무 좋아하십니다. 물론 엄마 허리도 점점 좋아지고 있고 교수님 덕분에 희망이 생겼어요. 정말 대대손손 복 많이 받으세요. 감사합니다.
건강,백년허리 1: 진단편,2021-05-06,4,책상 위에 얹어놓고 눈에 보일 때마다 허리를 펴게 되는 매직
건강,백년허리 1: 진단편,2021-04-19,4,"디스크로 고생하는 한 사람으로 교수님 유투브 채널에서 도움 받은 내용과 요통의 자가진단, 대처법을 한번에 찾아볼 수 있도록 요약되어있어 너무 만족스럽네요. 2권도 빨리 나오면 좋겠습니다"
건강,백년허리 1: 진단편,2021-04-19,4,유투브에 시범까지 보이시니 참 유용합니다. 허리 최고 권위자!!
건강,백년허리 1: 진단편,2021-06-07,4,디스크 환자로서 유용해요
건강,백년허리 1: 진단편,2021-06-02,3,쉽게 질병에 대해 이해할 수 있도록 쓰여져있고 잘 읽혀요
건강,백년허리 1: 진단편,2021-05-29,4,척추 협착 및 디스크로 고생하는데 도움 받을 내용이 있네요
건강,백년허리 1: 진단편,2021-05-29,4,매우 도움이 됩니다
건강,백년허리 1: 진단편,2021-05-29,4,"허리가 아파서 주위에서 병원에서 추천한 책입니다.
절판되어서 다시 발행되어 좋네요."
건강,백년허리 1: 진단편,2021-05-15,4,아무리 큰 병원가도 1분 MRI 보면서 주사 맞으세요 운동 물어보아도 네 아니요.. 무엇을 하라 하지말라 이야기도 없고 돈 시간스트레스만 받다가 이제서야 믿음을 가지고 방향을 정할 수 있었음
건강,백년허리 1: 진단편,2021-05-10,4,너무 좋은 책 다들 읽어봐요
건강,백년허리 1: 진단편,2021-05-06,4,건강에 도움이 되는 훌륭한 책이다
건강,백년허리 1: 진단편,2021-05-05,4,백년허리읽고 백년운동이 2권인줄 알고 샀습니다 허리통증의 이해와 바른운동에 도움이 되는 좋은 책인것 같습니다. 233페이지등 2권참조 라고 되어있는 부분등등 아직 2권이 발간안된거 맞지요? 언제정도 나올예정인지 알려주십시요 ~^
건강,백년허리 1: 진단편,2021-05-05,4,너무너무 좋은 책 입니다. 정교수님 책은 다 사서 읽고 있어요
건강,백년허리 1: 진단편,2021-05-04,4,잘 읽겠습니다. 허리 통증에 도움이 되었으면 좋겠습니다.
건강,백년허리 1: 진단편,2021-05-03,4,잘읽을게요 화이팅화이팅
건강,백년허리 1: 진단편,2021-04-30,4,허리아파서 고통겪고있는데 정선근교수님 유튜브 영상 과 책 보면서 올바른 자세 취하려고 노력합니다
건강,백년허리 1: 진단편,2021-04-28,4,누구든지 꼭 읽어봐야할 책
건강,백년허리 1: 진단편,2021-04-23,4,너무 감사해요. 정말 진짜 의사 ㅎㅎ 진실되보이고 아낌없이 알려주고 책 나오자마자 바로 샀습니다:)
건강,백년허리 1: 진단편,2021-04-22,3,디스크로 허리통증이 계속되는데 코로나로 인하여 수영도 하기 힘든 상황에 유용한 허리 관리 도서를 발견해서 기쁘다.
건강,백년허리 1: 진단편,2021-04-21,4,실용적인 책이에요.
건강,백년허리 1: 진단편,2021-04-20,4,좋은 책입니다. 아주 만족합니다.
건강,백년허리 1: 진단편,2022-09-03,4,두고 두고 보려고요
건강,백년허리 1: 진단편,2022-09-03,4,허리가 아파서 구매했는데 정말 좋습니다~
건강,백년허리 1: 진단편,2022-08-29,4,잘 읽겠습니다. 감사합니다.
건강,백년허리 1: 진단편,2022-08-28,4,책 글씨가 큼직해서 읽기 좋아요~~
건강,백년허리 1: 진단편,2022-08-19,3,유투브에 나와있지 않은 내용까지 있어 좋습니다~
건강,백년허리 1: 진단편,2022-08-16,4,디스크 파열로 고생 중이라 이 책을 구입했습니다. 많은 분들이 추천해 주시는 이유를 알겠더군요!
건강,백년허리 1: 진단편,2022-08-15,4,여러 논문과 사례를 들어 논리적으로 설명하나 굉장히 이해하기 쉽게 되어있다. 결국 하나의 방법?으로 귀결되어 희망도 주는 책!
건강,백년허리 1: 진단편,2022-08-12,4,매우매우 만족합니다.
건강,백년허리 1: 진단편,2022-08-08,4,유튜브로 즐겨보고 있었는데 책을 통해 볼 수 있어서 좋습니다.
건강,백년허리 1: 진단편,2022-08-07,4,허리 디스크가 있는 저에게 아주 유용합니다
건강,백년허리 1: 진단편,2022-08-02,4,허리에 많은 도움이 되었으면 합니다.
건강,백년허리 1: 진단편,2022-08-01,4,좋아요~~ 만족합니다!
건강,백년허리 1: 진단편,2022-07-31,4,신전동작이 허리 디스크에 미치는 신통한 효과
건강,백년허리 1: 진단편,2022-07-31,4,시카고재활센터의 프레스 교수가 알려준 배 내밀기 동작
건강,백년허리 1: 진단편,2022-07-31,4,워낙 유명한 교수님이라 구입한 책입니다
건강,백년허리 1: 진단편,2022-07-27,4,명쾌하고 믿음이 가는 책
건강,백년허리 1: 진단편,2022-07-25,4,허리 아픈이유를 알 수 있어서 유용해요
건강,백년허리 1: 진단편,2022-07-23,4,좋습니다~~~~~~~~
건강,백년허리 1: 진단편,2022-07-23,4,우연히 도서관에서 빌려보고는 너무나 쉽게 잘 설명이 되어 있어 허리가 좋지 않으신 고모께 선물했어요. 부디 아프지 않기를 더 나빠지지 않길 바라는 맘에서요
건강,백년허리 1: 진단편,2022-07-22,4,관절이. 안좋아서. 읽으면서. 매일. 조금씩. 해보는데 도움이 많이되네요
건강,백년허리 1: 진단편,2022-07-22,4,마사지 교육을 받았는데 허리에 관련된 책을 찾다가 구매 했습니다.
건강,백년허리 1: 진단편,2022-07-21,4,허리가 안 좋아서 유투브만 보다가 책으로 보니 깔끔하고 가독성이 좋네요!!!
건강,백년허리 1: 진단편,2022-07-21,4,병원 의사선생님 권유로 구매하게 되었습니다. 책 내용대로 노력 해봐야 겠어요..
건강,백년허리 1: 진단편,2022-07-17,4,허리 건강에 대해 알 수 있는 좋은 책 입니다.
건강,백년허리 1: 진단편,2022-07-12,4,업무상 허리에 무리가 오는 편인데 도움이 됐습니다
건강,백년허리 1: 진단편,2022-07-11,4,의학용어가 수두룩하지만 너무 재밌어요. 교수님의 위트가 철철 넘칩니다.
건강,백년허리 1: 진단편,2022-07-10,4,그동안 허리가 너무 아파서 치료를 받았지만 나아지지 않어서 구매하게 되었는데 제가 그동안 너무 나쁜 자세를 하고 있는걸 알게 되었어요
건강,백년허리 1: 진단편,2022-07-10,4,허리통증 때문에 샀는데 유용한 정보가 많네요~~
건강,백년허리 1: 진단편,2022-07-09,2,좋은 책 감사합니다
건강,백년허리 1: 진단편,2022-07-07,4,허리통증에 대해 쉽고 이해하기 좋은 책 입니다
건강,백년허리 1: 진단편,2022-07-05,4,허리디스크가 있거나 주변에 있다면 읽기를 권하는 책입니다
건강,백년허리 1: 진단편,2022-06-27,4,디스크로 걱정되서 읽기 시작했어요.
건강,백년허리 1: 진단편,2022-06-26,4,"요즘 갑자기 허리가 살짝 불편해서 도움 될까해서 읽어봅니다.
부디 도움 되길!"
건강,백년허리 1: 진단편,2022-06-23,4,허리 상태 진단과 사례 관련 책입니다. 운동법은 치료 편을 보시는 게 좋아요.
건강,백년허리 1: 진단편,2022-06-22,4,많은 도움이 될 것 같습니다
건강,백년허리 1: 진단편,2022-06-22,4,후기가 넘 좋아서 주문했어요~~
건강,백년허리 1: 진단편,2022-06-09,4,허리안좋은 지인이 추천해서 구매했습니다. 정독하려구요.
건강,백년허리 1: 진단편,2022-06-05,3,참고하고 있슴니다
건강,백년허리 1: 진단편,2022-05-19,4,Good!!! Good!!! Good!!! Good!!! Good!!!
건강,백년허리 1: 진단편,2022-05-01,4,너무 상세하게 잘 적혀있어요~
건강,백년허리 1: 진단편,2022-03-28,4,정독해서 읽으면 정말 좋아요
건강,백년허리 1: 진단편,2022-03-19,4,백년동안 사용할 허리의 지침서
건강,백년허리 1: 진단편,2022-03-16,4,유용해요유용해요유용해요유용해요
건강,백년허리 1: 진단편,2022-03-02,4,오래오래 읽기 좋습니다
건강,백년허리 1: 진단편,2022-02-28,4,아주 좋습니다 잘읽힙니다 .추천합니다
건강,백년허리 1: 진단편,2022-02-21,4,허리 골반 치료중에 차후관리를 위해 구매했습니다~ 내용정말 유익하네요!!!
건강,백년허리 1: 진단편,2022-02-20,4,왜 이 책이어야하는지 설명해주는 파트가 1권에 있어서 시리즈 처음부터 읽는걸 추천합니다
건강,백년허리 1: 진단편,2022-02-14,4,허리아파서 찾아보게된 책 자연히 낫게됨을 알게한 책
건강,백년허리 1: 진단편,2022-02-07,4,종이책이라 머리맡에 두고 읽기 좋아요!
건강,백년허리 1: 진단편,2022-02-03,4,허리에 좋아요 최고입니다
건강,백년허리 1: 진단편,2022-01-27,4,부모님께 선물드렸는데 좋아하시네요. 잘 산 것 같아요.
건강,백년허리 1: 진단편,2022-01-17,4,허리통증으로 고생하다 접한 구세주
건강,백년허리 1: 진단편,2022-01-16,4,부모님 허리가 안좋아서 사드렸는데 유용하다고 하시네요. 내용이 유용해요
건강,백년허리 1: 진단편,2022-01-05,4,좋아요~~~~~~~~
건강,백년허리 1: 진단편,2021-12-23,4,글자가 큼직하게 인쇄되어서 보기 편합니다.
건강,백년허리 1: 진단편,2021-12-21,4,직장인 허리건강을 위해 샀습니다. 유용하게 잘 보겠습니다!
건강,백년허리 1: 진단편,2021-12-20,4,어머니께 선물로 드렸더니 엄청 좋아하십니다
건강,백년허리 1: 진단편,2021-12-02,3,백년 허리 책으로 허리 건강을 잘 지켜볼게요
건강,백년허리 1: 진단편,2021-11-01,3,"허리디스크의 바이블, 말이 필요 없습니다
교수님이야말로 마음까지 치유하는 진정한 의사십니다
이 책을 읽으며 의사들도 잘 모르던 내 허리 상태를 진단 했고
앞으로 어떻게 치료 방향을 잡아야 하는지 자세하게 목표를 세우게 됐습니다 고맙습니다"
건강,백년허리 1: 진단편,2021-10-17,4,도움되는 내용이 많아서 좋아요
건강,백년허리 1: 진단편,2021-10-12,4,very good book
건강,백년허리 1: 진단편,2021-10-04,4,건강에 도움이 되는 책입니다.
건강,백년허리 1: 진단편,2021-10-02,4,"맘이급해 치료편인 2권부터 사고 진단편 1권구매하게 되었네요~ 내허리통증해석부터하는게 우선인듯합니다. 1,2권 모두 읽어보니 마라! 하라! 너무이해됩니다^^"
건강,백년허리 1: 진단편,2021-09-06,4,내가 본 건강관련 책 중 최고의 책! 의사가 썼으나 정말 쉽게 읽히도록 썼고 무엇보다도 정직한 내용에 감동! 나이 들어 뻣뻣해지는 허리를 유연하게 만들려 노력한 것이 바보 짓 이었다는 걸 깨닫게 해 준 책. 역시 의사는 helper이지 해결사가 아님을 확인합니다. 정선근 선생님같은 의사가 많이나오길 바랍니다
건강,백년허리 1: 진단편,2021-08-30,4,허리 통증과 가까운 현대인에게 아주 유용한 책!
건강,백년허리 1: 진단편,2021-08-16,4,만족하고 유용합니다
건강,백년허리 1: 진단편,2021-08-09,4,허리건강에 관심이 많아 지인의 소개로 오프매장에서 2권을 구매하여 읽다가 1권의 내용이 궁금하여 구매하였는데 허리공부하느라 시간가는줄 모를 만큼 재밌고 유익하네요~~^^
건강,백년허리 1: 진단편,2021-08-04,4,선물로 샀습니다. 정독해보진 않았지만 내용이 괜찮아 보입니다.
건강,백년허리 1: 진단편,2021-07-26,3,자화자찬 많아서 별로
건강,백년허리 1: 진단편,2021-07-21,3,운동을 꾸준히 하고싶어 허리관리 하면서 운동 해야겠다 싶어서 구매했습니다
건강,백년허리 1: 진단편,2021-07-15,4,유익하고 도움이 되는 책입니다!
건강,백년허리 1: 진단편,2021-07-02,4,허리가 안 좋아서 구매했어요 도움 되었으면 좋겠네요
건강,백년허리 1: 진단편,2021-06-23,4,책을 구입해본 기억이 10년이 넘은듯하다. 작년에 디스크가 터져 허리 통증으로 고생하던차에 유투브 동영상을 보고 책을 구입하게 되었다. 전문의가 쓴 책이지만 일반인들이 이해하기 너무 쉽세 쓰여져 있었다. 평소 궁금했던 내용과 잘못된 습관 그리고 도움을 줄 수 있는것들을 잘 알려줘 도움이 많이 되었다. 10년 만에 책을 구입하기 위해 교보문고에 로그인하고 구입하니 신기하게도 당일도착해서 너무 좋았다. 책을 다 읽고 2편을 다시 주문했다 오후에 주문하니 내일 도착 예정이란다. 빨리 책이 도착하면 좋겠다..
건강,백년허리 1: 진단편,2021-06-22,4,허리가 너무 아파서 카페에서 백년허리 추천 해주셔서 찾아보다가 책도 사고 정선근 교수님 유튜브도 정독했어요.. 책 너무 유용하게 잘읽었어요 ㅠㅠ 좋은 허리 만드는ㄷㅔ 많이 도움됬어요!
건강,백년허리 1: 진단편,2021-06-18,4,기대됩니다!!!!!
건강,백년허리 1: 진단편,2021-06-14,4,"치료를 받아도 디스크가 심해져서 직접 한번 허리에 관해 알아보려고 구매했습니다. 어렵지 않게 읽을 수 있고, 내용도 많은 도움이 됩니다."
건강,백년허리 1: 진단편,2021-06-14,4,"서점에서 항상 베스트에 놓여 있어서 알고 있었습니다.
요즘 디스크가 터지는 바람에 병원 치료를 받은 와중에 생각이 나서 선생님 책 모두 구입했어요."
건강,백년허리 1: 진단편,2021-05-06,4,허리디스크쪽 건강에 도움이된다고하여 추천받았습니다
건강,백년운동,2019-12-15,4,"운동이 몸에 좋다는 것은 잘 알고 있지만, 몇 년 전 운동을 하다가 근육이 찢어지는 부상을 입은 이후로는 예순을 바라보는 나이에 과연 근력운동을 해도 될 지 무척 걱정스러워진 것이 사실이다. 그래서 주로 유산소 운동만 하면서 지내왔는데 서울대학교 병원 재활의학과 정선근 교수님이 새로 쓰신 이 책 ‘백년운동’을 읽고 나서는 다치지 않는 근력운동도 병행할 수 있다는 용기를 가지게 되었다. 이 책에는 부상없이 운동할 수 있도록 운동할 때 힘을 주어야 할 부위를 상세한 도록으로 표기해 놓았고 임상을 통해 경험하신 교수님의 세심한 설명이 곁들여져 있어서 앞으로 유용한 운동의 지침서가 될 것 같다.
이 책에서 정선근 교수님은 오래오래 살려면 유산소 운동을 열심히 하고, 건강하고 멋지게 살려면 근력운동을 해야 한다고 이야기하신다.
연말연시를 맞아 친구들의 건강한 새해를 기원하는 바램에서 나는 이 책을 선물하곤 한다.
밝아오는 2020년에는 근력운동을 열심히 해서 좀더 활기 있고 멋진 한 해를 보내고 싶다."
건강,백년운동,2020-05-10,4,너무좋아요
건강,백년운동,2021-05-11,4,페이지수가 많아도 들기 편한 책. 운동법이 그림과 같이 적혀 있어 읽기 좋아요.
건강,백년운동,2021-04-29,4,대필하지 않고 애정으로 모든 연구를 쏟아 환자을 위한 마음으로 집필하신 흔적이 책 곳곳에서 느껴진다. 더 일찍 교수님을 만나지 못한 것이 후회 일뿐....
건강,백년운동,2020-04-21,4,정성근 교수님 신간 이라 아묻따 구매했어요
건강,백년운동,2020-04-08,4,공부도 많이되고 도움도 많이 됩니다
건강,백년운동,2021-05-08,4,쌤 책 다살예정. 아빠선물로.
건강,백년운동,2021-04-28,4,누구든지 꼭 읽어봐야할 책
건강,백년운동,2021-04-27,4,"허리와 목에 대한 자세한 지식이 잘 나와 있고, 실질적으로 도움이 되는 운동들이 너무 많다. 특히나 맨몸 백년운동이 인상 깊었다. 체중을 줄이기 위한 운동도 참조하길"
건강,백년운동,2021-04-04,4,잘 읽겠습니다 감사합니다앙
건강,백년운동,2021-03-30,4,절판된 백년허리돞다시 나왔으면 좋겠어요
건강,백년운동,2021-03-27,4,골프하다 척추와 관절에 손상을 입는 경우가 적지 않다. 흥미로운 것은 필드에서 라운딩할 때 보다 연습장에서 손상이 더 잘 생긴다는 것이다. -135쪽
건강,백년운동,2021-03-20,4,백년허리 읽고 백년운동도 샀어요. 유용하고 좋은 책이에요.
건강,백년운동,2021-03-01,4,척추와 관절이 아프지 않게 운동하는 방법을 알려주는 책
건강,백년운동,2021-02-27,4,너무 도움이 되는 책입니다.
건강,백년운동,2021-02-25,4,"갑작스런 허리 통증, 검사결과 허리디스크.. 너무 충격적이고 어떻게 치료를 시작해야할지 혼란스러운 상황에 우연히 유트브에서 교수님의 영상을 보고 고민없이 구매를 했습니다. 고액의 주사와 통원치료를 요구하는 병원의 상행위에 염증을 느꼈던 터라 내용 하나하나가 더 와닿은것 같습니다. 치료가 반드시 선행될게 아니고 걷기와 자세 교정만으로 치유가 가능하는 교수님의 말씀에 감동했습니다. 만보걷기 실천으로 확실히 통증이 완화된 것 같아 놀라울 따름입니다. 걷기가 최고의 치료!"
건강,백년운동,2021-02-22,4,운동의 기본을 제대로 알려주는 책입니다~^^아주 좋아요.
건강,백년운동,2021-02-13,4,쉽게 할 수 있도록 잘 설명해주고 있습니다. 건강을 위한 아주 유용한 책입니다.
건강,백년운동,2021-02-01,4,엄마가 사달라고 해서 샀는데 너무 좋아하세요
건강,백년운동,2021-01-21,4,간단하면서 효과가 좋은 운동들을 알려주고 좋은 지식들이 담겨져 있음
건강,백년운동,2021-01-19,4,추천을 받고 구매합니다 좋아요~
건강,백년운동,2021-01-18,4,좋습니다
건강,백년운동,2021-01-07,3,유투브 구독하다가 책 쓰신거 나중에 알고 구매해봤어요. 무릎이 안좋아서... 아직 다 못읽었지만 도움이 되면 좋겠네요.. 정확하게 어느 부위에 힘이 들어가야하는지 등 좀만 더 디테일하면 좋을텐데 아무래도 책이라 그런 부분은 조금 부족해요ㅠㅠ 그래도 운동 어떻게 왜 시작해야하는지 등 차근차근 설명되어 있어서 좋습니다. 추천!!!^^
건강,백년운동,2021-01-03,4,좋아요~~허리안좋으신 분들 필독도서
건강,백년운동,2021-01-03,4,내용 너무좋아요 허리안좋으신 어머니가 읽으시는데 바른자세운동많이 도움된다고 말씀하세요
건강,백년운동,2021-01-01,4,좋습니다 추천합니다
건강,백년운동,2020-12-23,4,건강을 위해~!! 감사합니다.
건강,백년운동,2020-12-20,4,빠른 배송 만족합니다.
건강,백년운동,2020-06-02,4,성공하기 위해 읽어야할 필수 책
건강,백년운동,2020-05-26,4,유용하고 좋네요
건강,백년운동,2020-05-08,4,좋아요.
건강,백년운동,2020-05-07,4,너무좋아요
건강,백년운동,2020-05-06,1,헬스장 기구운동을 하시는 분들한테는 도움이 될 듯 합니다..
건강,백년운동,2020-05-02,4,허리에 좋은 운동법을 그림과 함께 첨부하여 이해하기 쉽고 활자들도 보기 좋게 편집이 되어있다. 게다가 책 저자의 근육까지 표지에 나타나 있어 신뢰가 간다.
건강,백년운동,2020-04-30,4,"좋아요, 운동 초보인데 책을 읽으며 유용한 정보를 많이 알게 되었어요. 만족합니다."
건강,백년운동,2020-04-30,4,"운동 초보인데 이 책을 참고하며 운동하면 많은 도움이 될 것 같아요. 책 내용, 정보에 만족합니다."
건강,백년운동,2020-04-27,4,나이가 들어가면서 아픈곳이 많아진 저에게 건강하게 운동하는 방법을 알아가는데 필요한 책이라 생각됩니다.
건강,백년운동,2020-04-26,4,건강에 관한 정보 감사합니다.
건강,백년운동,2020-04-23,4,운동의 방법을 알고 운동을 할 수 있게 합니다.
건강,백년운동,2020-04-23,4,평소 허리가 안좋아서 백년 허리를 보고 많은 도움을 받았다. 근자에 인터넷에 백년 운동이라는 짤방이 돌아 다녀서 호기심에 읽게 되었는데 이것은 우리 몸에 대한 기초 상식 부터 어떻게 하면 다치지 않고 운동 할 수 있는지 배울 수 있는 서적이란 것을 알게 되었다. 각 운동을 어려운 영어 표현을 쉽게 이해 할 수 있도록 한글로 표현된 단어도 괄목할 만한 점이다. 허리가 아프고 나서 부터 어떻게 운동 해야하나. 그 한계점이 무엇인가를 고민 해 왔는데 이 책을 통해 알 수가 있다. 추천드리고 싶은 분은 이제 막 운동을 시작 한 분 혹은 운동 중에 다쳐서 고민스러운 분 정확한 운동 자세가 궁금한 사람들이 읽어보면 도움이 될 것 같다
건강,백년운동,2020-04-22,4,잡동사니 유투브 영상보다 최고의 책입니다.
건강,백년운동,2020-04-18,4,도움이 많이 됩니다
건강,백년운동,2020-04-13,4,아주 좋아요
건강,백년운동,2020-04-09,4,꼭 필요한 책이라 많은 도움이 되었어요
건강,백년운동,2020-04-08,4,쳥소 허리나 목 엉덩이 통증이 심해 차분히 따라해보려고 샀어요 설명까지 보기 좋네요
건강,백년운동,2020-04-08,4,허리 환자로서 잘못된 운동에 얼마나 빠져있었는지 절절히 느낍니다. 추천운동도 잘 따라해서 안아프게 살아야죠
건강,백년운동,2020-03-28,4,의학적이고 과학적인 운동처방이 신뢰감이 가는 책^^
건강,백년운동,2020-03-26,4,교수님 무한신뢰로 이것도 구매합니다
건강,백년운동,2020-03-16,4,모든 국민들의 바른운동을 위하여 꼭 필요한 필독서입니다.
건강,백년운동,2020-03-10,4,아주 도움 되는 책
건강,백년운동,2020-02-29,4,아픈 사람도 운동을 할 수 있도록 도와주는 책입니다. 옆에 두고 매일 보면서 매일 운동하려고 합니다.
건강,백년운동,2020-02-26,4,백년허리 보고 이것도 보려구요!
건강,백년운동,2020-02-17,4,허리 운동 건강에 도움이 많이 됩니다
건강,백년운동,2020-02-17,4,건강을 위해
건강,백년운동,2020-02-17,4,일반인도쉽게읽고이해하기쉽습니다
건강,백년운동,2020-02-02,4,정말 많은 도움이 됩니다
건강,백년운동,2020-01-31,4,모든 분 이책을 읽고 실천하면 사회적 비용이 감소되어 국가적으로도 큰 이익이 될 것입니다
건강,백년운동,2020-01-29,4,건강하게 운동하기 위해 구매.
건강,백년운동,2020-01-26,4,건강을 의한 운동에 많은 도움이 됩니다
건강,백년운동,2020-01-21,4,관절이 아파본 사람이라면 필수
건강,백년운동,2020-01-12,4,"운동하다 부상당하기 십상인데
이 책을 보니 부상없이 운동하는데 많은 도움이 될 것 같습니다.
너무 좋아서 선물하려고 여러권 구매했습니다^^"
건강,백년운동,2020-01-04,4,백년허리 목 운동까지 읽고 실천해서 방사통에서 해방되고 싶어요
건강,백년운동,2019-12-19,4,"운동이 몸에 좋다는 것은 잘 알고 있지만, 몇 년 전 운동을 하다가 근육이 찢어지는 부상을 입은 이후로는 예순을 바라보는 나이에 과연 근력운동을 해도 될 지 무척 걱정스러워진 것이 사실이다. 그래서 주로 유산소 운동만 하면서 지내왔는데 서울대학교 병원 재활의학과 정선근 교수님이 새로 쓰신 이 책 ‘백년운동’을 읽고 나서는 다치지 않는 근력운동도 병행할 수 있다는 용기를 가지게 되었다. 이 책에는 부상없이 운동할 수 있도록 운동할 때 힘을 주어야 할 부위를 상세한 도록으로 표기해 놓았고 임상을 통해 경험하신 교수님의 세심한 설명이 곁들여져 있어서 앞으로 유용한 운동의 지침서가 될 것 같다.
이 책에서 정선근 교수님은 오래오래 살려면 유산소 운동을 열심히 하고, 건강하고 멋지게 살려면 근력운동을 해야 한다고 이야기하신다.
연말연시를 맞아 친구들의 건강한 새해를 기원하는 바램에서 나는 이 책을 선물하곤 한다.
밝아오는 2020년에는 근력운동을 열심히 해서 좀더 활기 있고 멋진 한 해를 보내고 싶다."
건강,백년운동,2019-12-18,4,건강하게 다치지 않고 운동합시다
건강,백년운동,2019-12-06,4,"일반 헬스 서적보다 어떠한 운동이 내게 도움이 되고 해가되는지, 재활 전문 교수님이 쓰신 책이라 많은 도움이 됩니다.저는 지체 장애인 인데 이책을 보고 평생 운동할 것 입니다."
건강,백년운동,2019-12-06,4,척추건강을 위해 있어야하는 책
건강,백년운동,2019-11-26,4,100세까지 건강하게!
건강,백년운동,2022-09-09,4,도움이 많이 됩니다.
