,part,title,date,rating,text
0,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-02-18,4,깔끔하고 정리가 잘 되어 있어요! 오늘 책 받았는데 너무 잘 산거 같아요 열심히 공부하겠습니다
1,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-02-15,4,"유튜브로 많은 도움을 받았고, 영상 하나하나 넘기는것도 좋지만 책으로 직접 확인하고 싶은 마음이 커서 구매했어요!"
2,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-03-02,4,친절하게 책을 보고 따라 할 수 있게 잘 구성 되어 있습니다.
3,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-02-18,4,오빠두 유투브 광팬입니다. 정말 알기쉽게 설명 잘해주세요!!
4,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-03-12,4,아직은 엑셀이 어렵지만ㅠㅠㅠ 따라하다보면 쉽게 할 수 있을 것 같습니다! 유튜브 영상도 있으니 좋네요
5,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-03-11,4,유용하고 도움이 많이 됩니다.
6,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-03-10,4,일반 엑셀 함수 관련 서적과 달리 실무에 바로 적용 할 수 있도록 상황에 따른 케이스별 설명이 되어 있어 매우 유용합니다.
7,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-03-09,4,보기 편해요 설명 쉽고요
8,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-03-01,4,감사히 읽겠습니다 ^^
9,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-02-28,4,실무적으로 딱 필요한 정보라서 도움됩니다.
10,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-02-24,4,영상과 함께 보니 더 쉽게 공부할 수 있어 좋네요~
11,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-02-17,4,엑셀 실무의 정석!!
12,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-02-14,4,"기초부터 꾸준하게, 탄탄하게 닫져보려고 기다립니다. 영상보다는 글 선호하는 편이라 이번에 책 출간하셔서 정말 기쁩니다.~"
13,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-08-29,4,공부해야 해서 구매했어요! 잘 볼게요!
14,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-08-25,3,내용이 충실해요 읽기 편안합니다.
15,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-08-24,4,내용이 이해력 낮은사람도 쉽게 볼 수 있습니다. 필요한 부분이 잘되어있어 매우 유용합니다
16,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-08-24,4,잘 봤습니다. 감사합니다.
17,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-08-22,4,책 내용 좋고 설명도 좋습니다.
18,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-08-21,4,유익하고 좋아요~!
19,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-08-11,3,엑셀 최고의 책이라고 얘기듣고 구매쌨습니다
20,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-08-05,4,도움 많이 됩니다^^
21,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-08-04,4,인터넷 강의도 있고 이해하기 쉽게 구성되었습니다.
22,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-08-02,4,원하던 정보만 들어있습니다.
23,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-07-22,4,책도 강의도 좋아요 엑셀 배우는데 도움이 됩니다
24,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-07-21,4,실무용 최고 적극 추천 유튜브 강의도 있으니 공부하기 수월함
25,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-07-21,1,새책을 주문했는데 상태가 이렇네요. 10년 넘은 책도 이것보다 상태가 좋아요. 원래 이런책을 보내신건지 아니면 배송과정에서 잘못된건지 몰라도 교환 신청하겠습니다
26,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-07-13,4,유튜브랑 실전연습으로 이 책 한권을 끝내고자 주문했다 바로 유용하게 사용해보자!!
27,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-07-02,1,"장난하는 것도 아니고 산간 도서 지역 배송 한것도 아닌데 다음날 배송확정이라면서 4일지나도 안오는게 말이 되나요?? 이럴거면 그냥 바로드림으로 가서 받지"
28,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-07-02,4,실무에 너무 유용합니다!
29,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-06-27,4,역시 EXCEL은 EXCEL♡
30,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-06-19,4,기초부터 탄탄히 쌓고싶은분께 꼭 추천합니다
31,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-06-07,4,"읽기 좋게 쓰여있고, 동영상 강의와 연계도 좋다."
32,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-06-07,4,상세하고 좋아요 굿굿
33,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-05-31,4,업무능력 향상시키기에 좋아요
34,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-05-31,4,자세하게 정리되어 있어서 좋아요
35,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-05-28,4,좋아요. 만족합니다.
36,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-05-24,4,직접 책으로도 보면서 하려고 구입했습니다
37,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-05-22,4,책내용 너무 좋아요
38,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-05-16,4,내용이 알차고 너무 좋아요 계속 소장할거에요
39,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-05-14,3,역시 엑셀은 오빠두.
40,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-05-12,4,내용이 유익해요 좋습니다
41,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-05-11,4,유튜브로 보다가 너무 유용한 내용들이 많아 구입하게 됐어요! 기존에 출판된 엑셀책들은 진짜 교과서적인 부분들만 다루는데 이 책은 진짜 실무에 유용한 내용들이 많아요! 잘쓰겠습니다��
42,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-05-11,4,내용이 아주 좋아요 잘 활용하겠습니다.
43,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-05-10,3,"엑셀을 처음 보시는 분이 아니라면 새로운 방법을 알기 좋아요 페이지 구성도 찾기 편한듯 합니다."
44,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-05-02,4,잼있게 잘 읽었습니당
45,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-05-02,4,재미있게 잘 보았습니다.
46,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-05-01,4,유용한 내용 잘 정리되어있어용
47,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-05-01,4,엑셀의 숨은 기능을 알려주는 정말 유용한 책이라고 생각합니다.
48,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-04-30,4,오빠두 유투브 구독하다가 책 출간 소식을 듣고 구입했습니다. 8주 스터디를 하면서 알려주시는 대로 따라하다보니 엑셀이 쉽게 느껴집니다..ㅎㅎ :D
49,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-04-29,4,실무에서 사용하는 엑셀 기능 등을 알 수 있어서 너무 좋아요! 배운것을 바로 써먹을 수 있는 책! 진심으로 추천합니다!
50,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-04-26,4,유튜브로 관련 내용을 함께 해주어 엄청 유용합니다
51,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-04-24,4,엑셀을 책으로 배울 생각이시면 이 한권의 책을 추천하겠습니다. 책 구매로 끝내지 마시고 오빠두 홈페이지에서 배울 수 있는 동영상 컨텐츠를 꼭 놓치지 마세요.
52,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-04-24,4,이 책은 엑셀을 왜 하야하는지 부터 시작해서 엑셀을 정말 잘 사용할 수 있게 만들어 줍니다!
53,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-04-23,4,"현업에서 바로 활용할 수 있도록 체계적인 샘플, 동영상 강의를 통해 배울 수 있어서 너무 좋은 책입니다. 실제로 배운 내용을 통해 오래 걸리던 엑셀 반복 작업들을 자동화 또는 작업 시간을 최소화하는데 활용할 수 있었습니다!"
54,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-04-23,4,즐겨보는 강의인데 책으로 나와서 구매하고 공부해요. 강의로도 충분히 공부가 많이 되지만 교재가 생겨서 아주 기분좋아요.
55,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-04-23,4,엑셀 실무에 대해 이렇게 자세하게 알 수 있었던 책은 처음입니다. 열심히 공부해서 나중에 실무에서 잘 활용할 수 있었으면 좋겠습니다~!!
56,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-04-20,3,엑셀 기본에 충실한 교재입니다 저는 함수의 활용이 필요해서 주문했는데... 생각보다 기본적인 내용이라서 아쉬움이 있네요... 함수의 다양한 활용예제가 많은 책이 있으면 좋을것 같습니다.
57,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-04-18,4,유익하고 실무에 도움이 많이 되네요.
58,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-04-17,4,"해당 분야에서 베스트라 구매했아요, 유용하기를"
59,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-04-11,4,꼼꼼하게 읽어보는 중인데 유용합니다.
60,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-04-10,4,엑셀 고수로 유명한 오빠두엑셀 님의 책입니다. 다른 엑셀 책보다 업무 실전에 더 가까운 내용과 팁이 포함되어 있다고 생각합니다.
61,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-04-06,4,업무에 도움이 될 것 같아요
62,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-04-05,4,잘 구성되어 있어 좋아요 많은 도움이 됩니다 감사해요^^
63,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-04-04,4,깔끔하게 잘 정리되어 있습니다. 실제 업무에 많은 도움이 될듯 합니다.
64,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-04-01,4,"엑셀은 많지만 정말 핵심만 모아놓은것 같아요. 알고 있는 내용도 있지만 읽으면서 정리되는 기분입니다."
65,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-03-27,4,엑셀 기능 중 실무에서 사용하는 부분을 빠르게 익힐 수 있어요
66,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-03-26,4,전반적인 내용이 유용합니다.
67,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-03-24,3,괜찮아요 생각보다 좋네요
68,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-03-22,4,잘보겠습니다감사합니다
69,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-03-20,4,유익합니다!!!!!!
70,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-03-20,4,유익합니다!!!!!!
71,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-03-20,4,유익합니다!!!!!!
72,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-03-20,4,재미있게 잘 보고 있습니다
73,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-03-19,3,없어서 이거라도 사옴
74,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-03-09,4,역시 쉽고 좋네요~
75,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-03-09,4,좋은책 내주셔서 감사합니다 꾸준히 공부하겠습니다
76,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-03-07,4,구매후 훑어보기만 한 상태입니다. 사무실에서 동료직원에게 물어보는 것도 한도가 있는데 그런 아쉬움을 상당히 달래줄 것 같습니다. 엑셀 달인의 그날까지...
77,기술/컴퓨터,진짜 쓰는 실무 엑셀,2022-03-04,4,실전에서 사용할 수 있는 내용으로 어렵지.않고 좋아요. 특히 유튜브에서 요즘정리를 해주시고 계셔서 더욱 유용하네요
