part,title,date,rating,text
예술,방구석 미술관,2020-05-23,1,높은 평점 땜시 인터넷 구매하고 후회하는 일인입니다. 구매하지 말고 도서관 가서 볼 걸..ㅠㅠㅠ. 책에 후방주의가 필요한 부분이 있는 점도 명심하시구요..지인에게 절대 추천 '못' 할 겁니다. 인터넷 구매하시기 전에 책방 가서 꼭 확인하시고 구매하세요!!
예술,방구석 미술관,2020-05-25,3,오르세 미술관을 다녀와봤지만 이 책을 먼저 읽고 다녀왔으면 더 좋았을텐데 생각이 들었어요 ㅎㅎ 그림을 책으로나마 모아 소장할수있다는 장점과 비하인드 스토리가 너무 맘에 드네요
예술,방구석 미술관,2020-03-05,3,도서관에서 읽고 딸아이가 궁금해하길래 구매하네요
예술,방구석 미술관,2019-04-03,4,"화가들 인생이 그림에 미치는 영향, 이들과 함께 변한 시대와 사람들! 예술혼의 파급력도 위력있다"
예술,방구석 미술관,2019-08-29,4,의무교육은 의무교육일뿐... 학교에서 배운것들은 시험을 위한 것 뿐이었다. 그래서 궁금했던 점들을 시원하게 알려줘서 좋았다~
예술,방구석 미술관,2020-07-15,4,재미있게 잘 읽었어요. 도움이됩니다.
예술,방구석 미술관,2020-05-28,4,"본서의 바탕이 된 팟캐스트를 청취하진 않았지만, 왜 인기였는지 알겠더군요. 미술 작품과 작가에 대한 해설뿐 아니라 그 역사 문화적 배경, 알려지지 않은 뒷 이야기까지 흥미롭게 엮여 있습니다. 작품에 사용한 미술기법의 해설 또한 작품을 제대로 이해하는 데 도움을 줍니다."
예술,방구석 미술관,2020-01-18,4,미술에 관한 상식과 지식을 쌓고자 한다면 꼭 봐야 할 필독서!!
예술,방구석 미술관,2019-11-13,3,쉽게 이해할수있네요
예술,방구석 미술관,2019-10-29,4,미술을 책으로 읽는 건 언제나 옳아요
예술,방구석 미술관,2022-09-05,4,재미있게 잘읽었습니다~^^
예술,방구석 미술관,2022-09-04,3,스토리 미술 입문서
예술,방구석 미술관,2022-08-25,4,당신의 마음을 남겨주세요.
