part,title,date,rating,text
유아,수박 수영장,2018-08-03,4,기발해요
유아,수박 수영장,2021-07-19,4,여름에 읽기 아주 좋은 책! 수박 오감 놀이와 함께하니 더 좋아했어요
유아,수박 수영장,2021-07-08,4,유치원 추천도서로 구매했는데 기발하고 상상력 있는 책이에요~
유아,수박 수영장,2021-07-04,4,여름철 수박을 먹으며 아이와 함께 책을 읽고 있어요. 자연스럽게 이야기 거리가 늘어서 좋네요. :)
유아,수박 수영장,2021-05-31,4,아이 키우는 친구가 추천해줘서 구입했어요. 30대 중반 성인여잔데 일상의 위로를 받을 수 있는 너무 좋은 책이에요. 감사합니다.
유아,수박 수영장,2021-05-16,4,좀 이른감이 있지만 3살 아이도 집중해서 잘 보네요~^^* 그림도 좋고 내용도 좋습니다. 추천합니다~
유아,수박 수영장,2021-04-05,4,아이가 수박을 좋아하는데 책에서 큼지막하게 그려져서 좋네요 5세이상이보면좋을듯하네요ㅜㅜ
유아,수박 수영장,2021-03-26,4,"상상력 자극에는 좋은거같구, 글씨가 별로없어서 좀 아쉽네요"
유아,수박 수영장,2021-02-05,4,아이들이 좋아할 거 같아요~~ 글은 별로 없지만 잘 읽겠습니다~~ 그림을 보며 상상하기 좋을거 같아요!
유아,수박 수영장,2021-01-28,3,글밥이적고 글씨도좀작은편이라 아이랑볼때 그림위주로봐지네요
유아,수박 수영장,2022-09-04,4,도서관에서 읽고또 읽어 사주었습니다.
유아,수박 수영장,2022-08-25,4,좋은 독서했어요 추천요
유아,수박 수영장,2022-08-21,4,수박 수영장 그림 이뻐요
유아,수박 수영장,2022-08-19,4,수박이 수영장으로 되어 상상력이 돋보이는 책이다! 더운 여름철 책만으로도 시원한 느낌을 주며 아이에게 읽어주기 좋아요
유아,수박 수영장,2022-08-17,4,아이가 좋아합니다.
유아,수박 수영장,2022-08-14,4,아이가 읽고 싶다고 해서 주문했는데 재미있대요
유아,수박 수영장,2022-08-14,3,그림이 좋아요. 글자가 많이 없는 것은 약간 아쉽습니다.
유아,수박 수영장,2022-08-09,4,아기에게 읽어주려 구입했습니다 ㅎㅎ 내용이 너무 귀엽네요 ㅎㅎ
유아,수박 수영장,2022-08-08,4,아이가 참 좋아합니다. 특히 요즘처럼 더운 여름에는 더욱 좋네요.
유아,수박 수영장,2022-08-03,4,처음 써보는데 좋은것 같아요
유아,수박 수영장,2022-08-02,4,"아이들과 함께 읽으려고 구매했는데, 그림이 정말 좋은 동화책이네요~~^^ 상상력을 자극해요."
유아,수박 수영장,2022-07-29,4,아이가 좋아해요 저도 읽어 봤더니 유치하면서도 기발하네요 순순시대로 간듯
유아,수박 수영장,2022-07-26,4,아이가 아주 좋아합니다
유아,수박 수영장,2022-07-26,4,재밌게 잘 보았습니다
유아,수박 수영장,2022-07-26,4,내용이 유익하네요 ㄴㄷ
유아,수박 수영장,2022-07-25,4,아들이 재미있게 잘 읽고있어요
유아,수박 수영장,2022-07-21,4,기발합니다.. 넘 잼있네요
유아,수박 수영장,2022-07-18,4,아이가 너무 좋아해요
유아,수박 수영장,2022-07-17,4,좋아요 조아하는작가님책이에요
유아,수박 수영장,2022-07-14,4,좋아하는 수박을 주제로 삼아 재미있게 읽어주었습니다
유아,수박 수영장,2022-07-14,4,내용이 창의적이라 너무 재밌어요! 애들도 좋아하네요
유아,수박 수영장,2022-07-12,4,여름냄새가 물씬~ 행복해져요.
유아,수박 수영장,2022-07-05,4,조카가 엄청 좋아해서 대만족이에요
유아,수박 수영장,2022-07-03,4,그림 보기만 해도 마음 속부터 시원시원해지네요 ㅋㅋㅋ 잠시나마 상상하며 저도 수박수양장에 퐁당 들어갔다 온 기분이에요
유아,수박 수영장,2022-07-02,4,여름 아이가 재밌어해서 읽어달라고 해요
유아,수박 수영장,2022-06-26,4,수박좋아하는 35개월 아들 이책 보여주니 관심을 갖고 좋아하네요.
유아,수박 수영장,2022-06-19,4,아이와 어른 모두 재밌게 볼 수 있는 그림책입니다. 정말 유쾌하고 재밌어요!
유아,수박 수영장,2022-06-12,4,아이가 좋아해요 만족합니다
유아,수박 수영장,2022-05-23,4,내용이 흥미로워요 좋아요
유아,수박 수영장,2022-04-30,4,아이가 수박을 좋아해서~~~책도 좋아해욤~~
유아,수박 수영장,2022-04-20,4,초1필독서라 구매 봤어요.~
유아,수박 수영장,2022-04-17,4,아이가 아주 좋아해요!
유아,수박 수영장,2022-04-15,4,상상력을 키워줄 수 있는 창작 동화. 글이 길진 않아 혼자서도 독서가 가능할 것 같아요.
유아,수박 수영장,2022-03-25,4,아이가 재미있게 봐요^^ 따뜻한 그림체예요
유아,수박 수영장,2022-03-21,4,그림도 귀엽고 내용도 좋아요
유아,수박 수영장,2022-03-05,4,아이가 좋아할까 기대됩니다
유아,수박 수영장,2022-02-16,4,그림과 이야기가 기발해요. 아이들의 상상력을 키워줄 이야기책.
유아,수박 수영장,2022-01-25,4,아이도 저도 너무 잘 보고있어요ㅎㅎ
유아,수박 수영장,2022-01-05,3,잘 읽혀서 좋으네요
유아,수박 수영장,2022-01-04,4,"워낙 유명한 책이라서 아이와 즐겁게 읽었어요.
왜 유명한지 잘 알겠는 그림과 유머러스한 내용이 상상력을 십분 발휘하기 좋네요^^ 독후활동하기도 좋은 책입니다."
유아,수박 수영장,2021-12-31,4,아이가 직접 고른 책이라 재밌게 읽고 있어요
유아,수박 수영장,2021-12-13,4,도서관에서 빌렸다가 아기가 좋아해서 구매했어요 ㅎㅎ
유아,수박 수영장,2021-12-05,4,"그림도 내용도 재미있네요. 23개월아기를 위해 구매했는데, 더 커야 내용을 완전히 이해할 수 있겠으나 일단은 그림을 흥미롭게 봅니다."
유아,수박 수영장,2021-10-26,3,수박수영장 그림책 좋아요
유아,수박 수영장,2021-10-06,4,수박을 수영장으로 생각하는 발상이 좋아요
