part,title,date,rating,text
일본도서,글로우 GLOW 2022.08 (딘앤델루카 레지카고백&보냉보틀홀더),2022-07-11,4,이거 검정색도 예전에.구매했는데 그린 보냉백이 조금 더 길이도 길고 끈이 튼튼하네요 가방도 커서 굿입니다
일본도서,글로우 GLOW 2022.08 (딘앤델루카 레지카고백&보냉보틀홀더),2022-07-05,4,부록이 좋아요 실용적이에요
일본도서,글로우 GLOW 2022.08 (딘앤델루카 레지카고백&보냉보틀홀더),2022-09-08,4,가방 입구에 조임끈이 있어 더욱 유용하겠어요. 잡지도 생기고 가방도 생겨 기쁩니다.
일본도서,글로우 GLOW 2022.08 (딘앤델루카 레지카고백&보냉보틀홀더),2022-08-25,4,교보문고에서 직접샀는데 가방바닥이 평평해서 음식담아도 흐르지않고 좋습니다
일본도서,글로우 GLOW 2022.08 (딘앤델루카 레지카고백&보냉보틀홀더),2022-08-20,4,마음에 듭니다...
일본도서,글로우 GLOW 2022.08 (딘앤델루카 레지카고백&보냉보틀홀더),2022-08-19,4,실제 보면 이쁜 그린색입니다 기존에 쓰던 장바구니가 크기가 작아 불만이였는데 이건 사람이 들수있는 한계에선 부족할수없는 크기네요 만족스럽습니다
일본도서,글로우 GLOW 2022.08 (딘앤델루카 레지카고백&보냉보틀홀더),2022-08-17,4,한달만에 받았는데 부록역시 짱입니당!!!
일본도서,글로우 GLOW 2022.08 (딘앤델루카 레지카고백&보냉보틀홀더),2022-08-17,4,보냉백이 필요해 겸겸 주문했어요 ㅎㅎ
일본도서,글로우 GLOW 2022.08 (딘앤델루카 레지카고백&보냉보틀홀더),2022-08-12,4,배송좋고 부록도 유용하게 쓸 아이템인듯
일본도서,글로우 GLOW 2022.08 (딘앤델루카 레지카고백&보냉보틀홀더),2022-08-11,4,페트병스트랩? 그게 짱짱한게 좋네요
일본도서,글로우 GLOW 2022.08 (딘앤델루카 레지카고백&보냉보틀홀더),2022-08-11,4,너무너무 부록 이뿌고요. 책에도 요리소개가 많아 좋아요.인터넷 매진이었는데 어제 교보 오프매장갔더니 있어서 얼른 샀어요.
일본도서,글로우 GLOW 2022.08 (딘앤델루카 레지카고백&보냉보틀홀더),2022-07-17,4,내용도 풍부하고 부록도 넘 좋습니다 아주 맘에 들어요
일본도서,글로우 GLOW 2022.08 (딘앤델루카 레지카고백&보냉보틀홀더),2022-07-06,4,부록이 진짜 좋네요 예전에 회색도 샀는데 이번게 조금 더 큰 기분이에요
일본도서,스마트 SMART 2022.05 (atmos 멀티 수납박스),2022-08-29,4,유용하고 마음에 들어요
일본도서,스마트 SMART 2022.05 (atmos 멀티 수납박스),2022-08-29,4,부록이 마음에 들어요
일본도서,스마트 SMART 2022.05 (atmos 멀티 수납박스),2022-08-25,4,부록이 괜찮아서 구매했어요
일본도서,스마트 SMART 2022.05 (atmos 멀티 수납박스),2022-08-24,4,신발 담아가기 괜찮은거 같아요
일본도서,스마트 SMART 2022.05 (atmos 멀티 수납박스),2022-06-12,4,부록이 마음에 들어요
일본도서,스마트 SMART 2022.05 (atmos 멀티 수납박스),2022-06-05,4,재구매 했어요 만족합니다
일본도서,스마트 SMART 2022.05 (atmos 멀티 수납박스),2022-06-05,4,부록이 좋아요 만족합니다
일본도서,스마트 SMART 2022.05 (atmos 멀티 수납박스),2022-05-30,4,재미있고유익해요좋아요
일본도서,스마트 SMART 2022.05 (atmos 멀티 수납박스),2022-04-15,4,진짜 좋아요 10개 사세요!!
일본도서,스마트 SMART 2022.05 (atmos 멀티 수납박스),2022-04-14,3,"정리 좀 할 겸, 5개 샀습니다. 크기도 많이 커서 많이 들어가네요. 천도 두껍고 지퍼도 잘돼서 꽤 괜찮은 부록입니다"
일본도서,스마트 SMART 2022.05 (atmos 멀티 수납박스),2022-04-12,4,생각보다 부록 퀄러티가 좋습니다. 굿굿
일본도서,스마트 SMART 2022.05 (atmos 멀티 수납박스),2022-04-02,4,오오 수납박스 진짜 맘에 들어요
일본도서,모노맥스 MONO MAX 2022.09 (카리모어 접이식 만능 테이블),2022-08-29,4,부록때문에 구매했어요
일본도서,모노맥스 MONO MAX 2022.09 (카리모어 접이식 만능 테이블),2022-08-22,2,무거운거 올리면 안될 것 같은.. 꺼떡?거림?
