part,title,date,rating,text
자기계발,역행자(10만부 기념 페이크 에디션),2022-05-26,4,"저는 자청을 싫어했습니다. 왠지 모르게 느껴지는 열등감이 저를 한없이 작게 느껴지게 했습니다.

하지만 이제 저는 자청을 인정합니다. 그리고 동경합니다. 그가 나에게 사기를 쳐봤자, 나는 벗겨 먹을만한 돈이 없다는 걸 깨달았습니다. 자청은 가만히 있는데 혼자 북치고 장구치고 난리가 났네요.

예전에 유튜브를 할 때랑 요즘은 좋아보입니다. 유튜브 은퇴하고 과거의 저 같이 열등감에 휩싸인 불특정 다수를 상대하지 않아서인지 몰래도 더 여유가 느껴집니다. 이쪽이 본래의 모습인 거겠죠.

여튼 이번 책도 너무 기대하고 있습니다!"
자기계발,역행자(10만부 기념 페이크 에디션),2022-08-19,1,걍 뭐 그냥 그래요 평이 왜이리 좋은건지...
자기계발,역행자(10만부 기념 페이크 에디션),2022-05-26,4,"저는 세계를 누비는 항해사입니다. 저는 사방이 수평선이 보이는 선박 위에서, 자청님의 유튜브 영상, 전자책, 강의를 들으며, 초고속 성장을 했다고 자부할 수 있습니다.

그런 대표님의 책인 역행자, 정말 기대가 됩니다! 지금 인도에 있기 때문에 한국 대리점에 책을 신청해 놨는데, 다음항차가 한국이라 역행자 읽을 생각에 정말 기대가 되네요 ㅎㅎ

Ebook도 빨리 나오면 좋을 것 같아요!"
자기계발,역행자(10만부 기념 페이크 에디션),2022-09-02,1,"이런 책이 종합베스트셀러가 된다는 것은 이해가 가지 않는다. 그냥 다른 책에 있는 것 짜집기 해서 써놓은 책일 뿐이다. 이 책이 끌어당김의 법칙, R=VD공식과 다른 것은 무엇인가? 생생하게 꿈꾸면 현실로 이루어 진다. 그래 마음을 강하게 먹고 지속적으로 해내면 누구나 바뀐다는 것은 어느 자기계발서에나 있는 내용이다. 자의식 해체, 무의식 균열 등은 이미 있는 심리학 용어를 약간 바꿨을 뿐인데 사람들은 열광한다. 별것이라도 있는 것처럼... 안타깝다. 이 책은 선전효과의 영향을 많이 보고 있다. 성공했다더라... 유튜버 했다더라. 7단계라는 것도 별 의미가 없다. 나는 이렇게 말하고 싶다. 마음이 시키는 목표를 정하고 욕심부리지 말고 자신의 뇌에 당근을 주면서 사소한 성취감들을 매일 느끼면서 가랑비에 옷젓듯이 꾸준히 포기하지 않고 계속 전진하면 무엇이든지 이룰 수 있다. 단 책속에 답이 있으니 많은 책을 읽고 성찰하라. 결론은 별볼일 없는 책을 가지고 너무 떠 벌리는 것 같다. 하루 책 2시간 읽고 글쓰고 2년 동안 해봐라. 이런 이야기인데... 사람이 다 똑같지 않다. 자신의 상황에 맞게 독서하고 글쓰는 것이 정답이다. 이 세상을 살아가는데 정답은 없다. 자신이 만들어 나가는 것이다."
자기계발,역행자(10만부 기념 페이크 에디션),2022-06-04,1,핵심은 쏘옥 빠졌넹...;;;
자기계발,역행자(10만부 기념 페이크 에디션),2022-05-29,4,자청님 역행자 책 기대됩니다. 부의역행자! 일반적인 흐름을 역행하는 방법을 알려주는책! 프드프라는 자청님이 운영하는 전자책 플랫폼에는 자청님의 기존 책이 있어요~ 그리고 여기에 나와있는 책들은 정말 고급진 핵심꿀팁책들도 많아요. 프드프의 자청님 책들을 읽어보면 과연 이 역행자에는 무엇이 적혀있을까 궁금해집니다. 평범한 삶을 바꾸고 싶은 사람은 꼭 읽어봐야할 책. 책권자 기대돕니다. 이채과함께 프드프의 자청님 책도 권합니다. 프드프에 자청베스트칼럼은 무료니 함 정독해보면 자청님이 어떤 사람인지도 알수 있어요~~ 전 프드프에 여러책이 있지만 책권자님의 평범한 삶을 바꾸는 성공의 8단계 도 읽어보니 너무 좋았어요~ 다른 책도 읽어볼 생각입니다. 그래도 무엇보다도 역행자가 제일 기대됩니다~^^
자기계발,역행자(10만부 기념 페이크 에디션),2022-08-18,1,그냥 자기계발서라기 보다는 에세이 같습니다.
자기계발,역행자(10만부 기념 페이크 에디션),2022-06-20,4,"글쓰기를 계속 해왔던 분 답게 술술 읽히면서도 공감가는 구절들이 많아서 잘 읽었고, 출판해 주셔서 감사하다는 생각을 하면서 읽었어요."
자기계발,역행자(10만부 기념 페이크 에디션),2022-06-14,1,책이 와야 보고 리뷰를 쓰죠. 3일째 안 옵니다. 당일 도착하던 시대는 지난 겁니까? 그냥 서점 가서 사세요. 교보든 알라딘이든 영풍이든. 진짜 너무하네.
자기계발,역행자(10만부 기념 페이크 에디션),2022-05-26,4,"친구가 정말 좋은 책이라고 추천해서 구입합니다.


얼마나 대단한 책일지 기대되네요. 배송오면 한번 더 후기남기겠습니다"
