,part,title,date,rating,text
0,취미/스포츠,당신은 사건 현장에 있습니다,2022-07-18,4,추리소설 덕후에게 최고의 책
1,취미/스포츠,당신은 사건 현장에 있습니다,2022-08-27,4,ㅊㅜ리게임 같은 책 나와서 좋아요
2,취미/스포츠,당신은 사건 현장에 있습니다,2022-08-16,4,아이가 너무 좋아합니다. 제가 봐도 재밌네요.
3,취미/스포츠,당신은 사건 현장에 있습니다,2022-08-14,4,너무 재미있어요~~시리즈로 나올까요?
4,취미/스포츠,당신은 사건 현장에 있습니다,2022-07-22,4,재미있습니다! 추천합니다!!
5,취미/스포츠,당신은 사건 현장에 있습니다,2022-07-09,4,재미있을 거 같아요.
6,취미/스포츠,당신은 사건 현장에 있습니다,2022-06-24,4,범인이 누굴까 유추하며 재미있게 봤네요~~
7,취미/스포츠,당신은 사건 현장에 있습니다,2022-09-03,4,이런종류의 책은 처음이라 어려웠지만 너무 재미있습니다 제가 크라임씬의 출연자가 된 느낌이예요
8,취미/스포츠,당신은 사건 현장에 있습니다,2022-07-19,4,당신은 사건 현장에 있습니다
9,취미/스포츠,소워니놀이터의 말랑말랑 스퀴시,2022-06-30,4,좋아해요 기다렸거든요~
10,취미/스포츠,소워니놀이터의 말랑말랑 스퀴시,2022-08-26,4,아이가 무척이나 좋아합니다.
11,취미/스포츠,소워니놀이터의 말랑말랑 스퀴시,2022-08-23,4,집에서 아이와 놀아줄때 하면 좋을것같아 구매햇어요.
12,취미/스포츠,소워니놀이터의 말랑말랑 스퀴시,2022-08-13,2,아이들이 좋아하지만 책이라기 보기는 힘드네요. 만들기 재료와 설명서입니다.
13,취미/스포츠,소워니놀이터의 말랑말랑 스퀴시,2022-07-29,4,초1 방학을 함께할 아이템 준비물이 꽤 있네여 아이가 너무 좋아합니다^^
14,취미/스포츠,소워니놀이터의 말랑말랑 스퀴시,2022-07-28,4,아이가 넘 조아해요
15,취미/스포츠,소워니놀이터의 말랑말랑 스퀴시,2022-07-23,4,소워니놀이터 좋아해서 선물하려고 샀어요
16,취미/스포츠,소워니놀이터의 말랑말랑 스퀴시,2022-07-10,4,소워니책 받자마자ㅋ 너무 좋아서 방방 뛰더라고요 ㅎ 유튜브에서 봤는데 너무 갖고 싶었다고 ㅎ 말 안하고 주문 했었거든요 ㅎ
17,취미/스포츠,소워니놀이터의 말랑말랑 스퀴시,2022-07-08,4,애가 너무 좋아해요ㅜㅜ 참고로 초등 저학년 남아입니다.
18,취미/스포츠,소워니놀이터의 말랑말랑 스퀴시,2022-07-06,4,띠부띠부도 잘 가지고 놀았는데 스퀴시도 엄청 좋아해요.
19,취미/스포츠,소워니놀이터의 말랑말랑 스퀴시,2022-07-05,4,아이가 좋아합니다. 좋은 책 입니다.
20,취미/스포츠,소워니놀이터의 말랑말랑 스퀴시,2022-06-29,3,아이가 좋아해서 구매했어요~
21,취미/스포츠,소워니놀이터의 띠부띠부 직업놀이,2022-08-19,4,아이가 재미있어해요
22,취미/스포츠,소워니놀이터의 띠부띠부 직업놀이,2022-08-18,4,딸아이 선물로 샀는데 좋아하네요.
23,취미/스포츠,소워니놀이터의 띠부띠부 직업놀이,2022-08-17,4,아이가 좋아하긴해요 5살은 엄마가힘들어요ㅜㅜ 큰아이는혼자할수있어서 좋아요
24,취미/스포츠,소워니놀이터의 띠부띠부 직업놀이,2022-08-16,4,애들이 많이 좋아합니다
25,취미/스포츠,소워니놀이터의 띠부띠부 직업놀이,2022-08-11,4,유투브 보다가 구입하게 되었고요 만들기 쉽게 되어있어 일주일에 하나씩 잘 만들고 있습니다.
26,취미/스포츠,소워니놀이터의 띠부띠부 직업놀이,2022-08-09,4,아이들이 좋아해요~^^
27,취미/스포츠,소워니놀이터의 띠부띠부 직업놀이,2022-07-05,4,아이가 좋아합니다. 감사합니다.
28,취미/스포츠,소워니놀이터의 띠부띠부 직업놀이,2022-06-17,4,아이가 너무나 즐겁게 사용하고 있습니다.
29,취미/스포츠,소워니놀이터의 띠부띠부 직업놀이,2022-06-13,4,딸아이가 좋아하네요 너무 좋아요
30,취미/스포츠,소워니놀이터의 띠부띠부 직업놀이,2022-06-12,3,3학년 혼자 잘 만들고 좋아해요
31,취미/스포츠,소워니놀이터의 띠부띠부 직업놀이,2022-05-29,4,초등 저학년 혼자서 잘 만들고 놀아요~
32,취미/스포츠,소워니놀이터의 띠부띠부 직업놀이,2022-05-16,4,재밌게 잘 활용하고 있습니다.
33,취미/스포츠,소워니놀이터의 띠부띠부 직업놀이,2022-05-07,4,유튜브로 즐겨 보는데 애들이 좋아하네요
34,취미/스포츠,소워니놀이터의 띠부띠부 직업놀이,2022-05-01,4,오리고 붙이고 싱황놀이에 푹 빠졌어요. 아이 혼자서도 잘 놀아요
35,취미/스포츠,소워니놀이터의 띠부띠부 직업놀이,2022-04-18,4,아이가 소워니에 빠져버렸어요
36,취미/스포츠,소워니놀이터의 띠부띠부 직업놀이,2022-03-16,4,이번엔 직업놀이 별로 아이와 함께 놀이도 가능하네요
37,취미/스포츠,소워니놀이터의 띠부띠부 직업놀이,2022-03-16,4,아이들이 좋아하는 것만 가득하네요. 넘 재미있어해요^^
38,취미/스포츠,소워니놀이터의 띠부띠부 직업놀이,2022-03-04,4,집콕놀이에 딱이에요^^
39,취미/스포츠,소워니놀이터의 띠부띠부 직업놀이,2022-02-27,4,아이가 혼자서 잘 가지고 노네요 캐릭터도 귀엽고~^^
40,취미/스포츠,소워니놀이터의 띠부띠부 직업놀이,2022-02-24,4,아이들 직업놀이 하기 딱 좋아요 코팅해서 찍찍이 붙여주는게 일이긴한데 아이가 직접 오려서 만들어서 놀이하니 훨씬 잘 가지고 놀아요
41,취미/스포츠,소워니놀이터의 띠부띠부 직업놀이,2022-02-10,4,초등아이 방학때 잘 활용중이요
42,취미/스포츠,소워니놀이터의 띠부띠부 직업놀이,2022-02-05,4,딸아이가 동생이랑 재밌게 노네요.
43,취미/스포츠,소워니놀이터의 띠부띠부 직업놀이,2022-02-04,4,방학때 집에서 잘 갖고 놉니다 유용!
44,취미/스포츠,소워니놀이터의 띠부띠부 직업놀이,2022-02-04,4,"코로나로 인해 집콕이 일상인 아이들이 이걸 사달래서 뭔가 싶었거든요. 근데 종이인형놀이 확장판?그런 느낌이네요. 아기자기한 손놀이 좋아하는 저희 애들은 너무 좋아하는데, 치우는 입장인 저로썬 좀 난감하네요^^;;;;;"
45,취미/스포츠,소워니놀이터의 띠부띠부 직업놀이,2022-02-03,4,여러가지 직업으로 만들고 놀이도 할수 있어서 딸아이가 너무 좋아해요~~
